 Treads  Execution Time    Time  Energy  CO2eq  km travelled by car
      2       57,963556 0:00:58  0,0042 2,0098               0,0187
      4       55,728124 0:00:56  0,0041 1,9633               0,0183
      6       54,988382 0:00:55  0,0042 2,0020               0,0186
      8       56,031212 0:00:56  0,0044 2,0914               0,0195
     10       55,806105 0:00:56  0,0044 2,1097               0,0196
     12       53,569365 0:00:54  0,0044 2,1026               0,0196
     14       53,216458 0:00:53  0,0047 2,2505               0,0209
     16       49,945071 0:00:50  0,0043 2,0635               0,0192
     18       51,063976 0:00:51  0,0045 2,1250               0,0198
     20       52,146626 0:00:52  0,0044 2,1132               0,0197
     22       52,592427 0:00:53  0,0046 2,2072               0,0205
     24       53,435977 0:00:53  0,0047 2,2449               0,0209
     26       52,318089 0:00:52  0,0048 2,3009               0,0214
     28       51,426339 0:00:51  0,0048 2,2803               0,0212
     30       51,811553 0:00:52  0,0047 2,2383               0,0208
     32       52,055270 0:00:52  0,0047 2,2527               0,0210
     34       51,605616 0:00:52  0,0047 2,2246               0,0207
     36       51,298277 0:00:51  0,0047 2,2302               0,0207
     38       50,902392 0:00:51  0,0047 2,2215               0,0207
     40       56,109619 0:00:56  0,0050 2,3879               0,0222
     42       53,139320 0:00:53  0,0048 2,2676               0,0211
     44       56,699161 0:00:57  0,0054 2,5441               0,0237
     46       50,932055 0:00:51  0,0047 2,2433               0,0209
     48       53,910441 0:00:54  0,0048 2,2977               0,0214
