Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,ST,145.96133,0:02:26,0.0049,0.4802,0.0045
4,ST,77.89764,0:01:18,0.0028,0.2721,0.0025
6,ST,54.24319,0:00:54,0.0020,0.1970,0.0018
8,ST,45.49257,0:00:46,0.0017,0.1698,0.0016
10,ST,40.41941,0:00:40,0.0016,0.1543,0.0014
12,ST,38.06501,0:00:38,0.0015,0.1480,0.0014
14,ST,36.46990,0:00:37,0.0015,0.1441,0.0013
16,ST,35.47382,0:00:36,0.0014,0.1409,0.0013
18,ST,35.19958,0:00:35,0.0014,0.1412,0.0013
20,ST,34.81490,0:00:35,0.0014,0.1419,0.0013
22,ST,34.84099,0:00:35,0.0015,0.1444,0.0013
24,ST,34.83547,0:00:35,0.0015,0.1461,0.0014
26,ST,34.36915,0:00:34,0.0015,0.1462,0.0014
28,ST,34.08432,0:00:34,0.0015,0.1475,0.0014
30,ST,34.47817,0:00:35,0.0015,0.1512,0.0014
32,ST,33.44095,0:00:33,0.0015,0.1490,0.0014
34,ST,33.92527,0:00:34,0.0016,0.1532,0.0014
36,ST,34.06298,0:00:34,0.0016,0.1558,0.0014
38,ST,33.76399,0:00:34,0.0016,0.1566,0.0015
40,ST,33.46628,0:00:34,0.0016,0.1571,0.0015
42,ST,33.82178,0:00:34,0.0016,0.1610,0.0015
44,ST,33.78141,0:00:34,0.0017,0.1631,0.0015
46,ST,31.55702,0:00:32,0.0016,0.1558,0.0014
48,ST,30.45355,0:00:30,0.0016,0.1525,0.0014
50,ST,28.86785,0:00:29,0.0015,0.1458,0.0014
52,ST,27.90676,0:00:28,0.0014,0.1425,0.0013
54,ST,27.20988,0:00:27,0.0014,0.1406,0.0013
56,ST,26.52155,0:00:27,0.0014,0.1386,0.0013
58,ST,25.17458,0:00:25,0.0014,0.1340,0.0012
60,ST,24.57593,0:00:25,0.0014,0.1329,0.0012
62,ST,23.81213,0:00:24,0.0013,0.1305,0.0012
64,ST,23.74704,0:00:24,0.0013,0.1320,0.0012
66,ST,22.16110,0:00:22,0.0013,0.1266,0.0012
68,ST,21.36666,0:00:21,0.0013,0.1239,0.0012
70,ST,21.01933,0:00:21,0.0012,0.1227,0.0011
72,ST,20.43528,0:00:20,0.0012,0.1214,0.0011
74,ST,19.95031,0:00:20,0.0012,0.1201,0.0011
76,ST,19.46079,0:00:20,0.0012,0.1183,0.0011
78,ST,18.92776,0:00:19,0.0012,0.1155,0.0011
80,ST,17.84228,0:00:18,0.0011,0.1114,0.0010
82,ST,18.07354,0:00:18,0.0012,0.1140,0.0011
84,ST,17.92337,0:00:18,0.0012,0.1142,0.0011
86,ST,16.86208,0:00:17,0.0011,0.1090,0.0010
88,ST,16.28015,0:00:16,0.0011,0.1065,0.0010
