Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,ST,146.26357,0:02:26,0.0049,2.3495,0.0219
4,ST,77.58876,0:01:18,0.0028,1.3249,0.0123
6,ST,54.11353,0:00:54,0.0020,0.9595,0.0089
8,ST,45.42453,0:00:45,0.0017,0.8292,0.0077
10,ST,40.44595,0:00:40,0.0016,0.7546,0.0070
12,ST,37.32592,0:00:37,0.0015,0.7127,0.0066
14,ST,36.94688,0:00:37,0.0015,0.7127,0.0066
16,ST,35.67278,0:00:36,0.0014,0.6937,0.0065
18,ST,34.43021,0:00:34,0.0014,0.6787,0.0063
20,ST,34.50104,0:00:35,0.0014,0.6895,0.0064
22,ST,34.64250,0:00:35,0.0015,0.7039,0.0065
24,ST,34.44547,0:00:34,0.0015,0.7095,0.0066
26,ST,34.65315,0:00:35,0.0015,0.7228,0.0067
28,ST,34.00595,0:00:34,0.0015,0.7224,0.0067
30,ST,33.71305,0:00:34,0.0015,0.7266,0.0068
32,ST,33.19817,0:00:33,0.0015,0.7247,0.0067
34,ST,33.74923,0:00:34,0.0016,0.7463,0.0069
36,ST,33.89569,0:00:34,0.0016,0.7580,0.0071
38,ST,33.73325,0:00:34,0.0016,0.7644,0.0071
40,ST,33.22869,0:00:33,0.0016,0.7635,0.0071
42,ST,33.63569,0:00:34,0.0016,0.7834,0.0073
44,ST,33.94534,0:00:34,0.0017,0.7990,0.0074
46,ST,32.70679,0:00:33,0.0016,0.7854,0.0073
48,ST,30.35597,0:00:30,0.0015,0.7414,0.0069
50,ST,29.20096,0:00:29,0.0015,0.7167,0.0067
52,ST,27.27913,0:00:27,0.0014,0.6823,0.0063
54,ST,27.51582,0:00:28,0.0014,0.6901,0.0064
56,ST,25.93894,0:00:26,0.0014,0.6617,0.0062
58,ST,25.04616,0:00:25,0.0013,0.6462,0.0060
60,ST,24.35963,0:00:24,0.0013,0.6421,0.0060
62,ST,24.07051,0:00:24,0.0013,0.6428,0.0060
64,ST,23.26993,0:00:23,0.0013,0.6340,0.0059
66,ST,22.69850,0:00:23,0.0013,0.6302,0.0059
68,ST,21.59932,0:00:22,0.0013,0.6107,0.0057
70,ST,20.81187,0:00:21,0.0012,0.5981,0.0056
72,ST,20.05036,0:00:20,0.0012,0.5834,0.0054
74,ST,21.00362,0:00:21,0.0013,0.6119,0.0057
76,ST,19.42689,0:00:19,0.0012,0.5784,0.0054
78,ST,18.83047,0:00:19,0.0012,0.5677,0.0053
80,ST,17.83227,0:00:18,0.0011,0.5445,0.0051
82,ST,17.81358,0:00:18,0.0011,0.5506,0.0051
84,ST,17.29177,0:00:17,0.0011,0.5415,0.0050
86,ST,17.34712,0:00:17,0.0011,0.5494,0.0051
88,ST,17.06142,0:00:17,0.0011,0.5439,0.0051
