Treads,App,Time,Energy,CO2eq,travelled
2,PO,250.2599,0.0084,2.7474,0.0256
4,PO,133.7455,0.0043,1.5281,0.0142
6,PO,93.5862,0.0032,1.1183,0.0104
8,PO,76.9388,0.0027,0.9534,0.0088
10,PO,68.8801,0.0025,0.8749,0.0081
12,PO,63.8387,0.0023,0.8279,0.0077
14,PO,61.0802,0.0012,0.3138,0.0029
16,PO,59.6545,0.0008,0.1692,0.0016
18,PO,58.4231,0.0007,0.1668,0.0016
20,PO,57.2169,0.0007,0.1664,0.0016
22,PO,56.9745,0.0008,0.1674,0.0016
24,PO,56.5042,0.0008,0.1689,0.0016
26,PO,56.3982,0.0008,0.1709,0.0016
28,PO,56.3381,0.0005,0.1481,0.0014
30,PO,55.6782,0.0005,0.1459,0.0014
32,PO,55.6399,0.0005,0.1508,0.0014
34,PO,55.8433,0.0005,0.1531,0.0014
36,PO,55.9627,0.0005,0.1559,0.0014
38,PO,55.3846,0.0005,0.1554,0.0014
40,PO,55.6462,0.0005,0.1582,0.0015
42,PO,55.502,0.0006,0.1599,0.0015
44,PO,55.6466,0.0006,0.1621,0.0015
46,PO,52.9238,0.0005,0.1557,0.0015
48,PO,51.266,0.0005,0.1523,0.0014
50,PO,49.0734,0.0005,0.1478,0.0014
52,PO,47.2447,0.0005,0.1442,0.0013
54,PO,45.4987,0.0005,0.1417,0.0013
56,PO,44.2198,0.0005,0.1394,0.0013
58,PO,42.6269,0.0005,0.1353,0.0013
60,PO,41.559,0.0005,0.1335,0.0012
62,PO,40.093,0.0005,0.1309,0.0012
64,PO,38.8493,0.0004,0.1288,0.0012
66,PO,37.6609,0.0004,0.1271,0.0012
68,PO,36.5227,0.0004,0.1257,0.0012
70,PO,35.2142,0.0004,0.1237,0.0012
72,PO,34.4458,0.0004,0.1225,0.0011
74,PO,33.8311,0.0004,0.122,0.0011
76,PO,32.9195,0.0002,0.1009,0.0009
78,PO,32.0331,0.0002,0.0997,0.0009
80,PO,31.9748,0.0002,0.1007,0.0009
82,PO,30.8084,0.0002,0.0982,0.0009
84,PO,30.1458,0.0002,0.0975,0.0009
86,PO,29.1819,0.0002,0.0956,0.0009
88,PO,29.2273,0.0002,0.0964,0.0009
