Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,PO,242.85717,0:04:03,0.0040,0.3956,0.0037
4,PO,126.66698,0:02:07,0.0023,0.2307,0.0021
6,PO,92.50579,0:01:33,0.0019,0.1821,0.0017
8,PO,77.49866,0:01:18,0.0017,0.1638,0.0015
10,PO,70.26214,0:01:10,0.0016,0.1569,0.0015
12,PO,68.50369,0:01:09,0.0016,0.1595,0.0015
14,PO,67.05783,0:01:07,0.0017,0.1640,0.0015
16,PO,65.88219,0:01:06,0.0017,0.1669,0.0016
18,PO,66.48198,0:01:07,0.0018,0.1730,0.0016
20,PO,66.59893,0:01:07,0.0018,0.1792,0.0017
22,PO,60.73546,0:01:01,0.0019,0.1888,0.0018
24,PO,55.55576,0:00:56,0.0018,0.1812,0.0017
26,PO,51.61764,0:00:52,0.0018,0.1741,0.0016
28,PO,47.29987,0:00:47,0.0017,0.1648,0.0015
30,PO,44.74325,0:00:45,0.0016,0.1613,0.0015
32,PO,42.27962,0:00:42,0.0016,0.1587,0.0015
34,PO,39.17259,0:00:39,0.0016,0.1543,0.0014
36,PO,37.49018,0:00:37,0.0016,0.1530,0.0014
38,PO,36.08554,0:00:36,0.0015,0.1515,0.0014
40,PO,34.05309,0:00:34,0.0015,0.1476,0.0014
