Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,ST,124.82357,0:02:05,0.0021,0.2071,0.0019
4,ST,65.81687,0:01:06,0.0012,0.1194,0.0011
6,ST,50.92238,0:00:51,0.0010,0.0979,0.0009
8,ST,44.34935,0:00:44,0.0009,0.0908,0.0008
10,ST,41.20530,0:00:41,0.0009,0.0879,0.0008
12,ST,39.51345,0:00:40,0.0009,0.0880,0.0008
14,ST,40.35738,0:00:40,0.0009,0.0932,0.0009
16,ST,40.53036,0:00:41,0.0010,0.0972,0.0009
18,ST,39.77605,0:00:40,0.0010,0.0990,0.0009
20,ST,39.66236,0:00:40,0.0010,0.1021,0.0009
22,ST,36.20572,0:00:36,0.0011,0.1090,0.0010
24,ST,33.36286,0:00:33,0.0011,0.1060,0.0010
26,ST,31.19006,0:00:31,0.0010,0.1022,0.0010
28,ST,29.32185,0:00:29,0.0010,0.0993,0.0009
30,ST,26.23899,0:00:26,0.0009,0.0923,0.0009
32,ST,24.94843,0:00:25,0.0009,0.0906,0.0008
34,ST,23.58518,0:00:24,0.0009,0.0892,0.0008
36,ST,22.22229,0:00:22,0.0009,0.0871,0.0008
38,ST,21.04998,0:00:21,0.0009,0.0853,0.0008
40,ST,20.11185,0:00:20,0.0009,0.0837,0.0008
