Treads,App,Time,Energy,CO2eq,travelled
2,PO,243.8539,0.004,0.5513,0.0051
4,PO,126.3575,0.0024,0.3214,0.003
6,PO,91.8575,0.0018,0.2523,0.0024
8,PO,76.9028,0.0017,0.2257,0.0021
10,PO,70.0638,0.0016,0.2169,0.002
12,PO,68.2593,0.0016,0.2862,0.0027
14,PO,67.1116,0.0017,0.2938,0.0027
16,PO,66.5329,0.0017,0.3024,0.0028
18,PO,66.309,0.0018,0.3117,0.0029
20,PO,66.1744,0.0018,0.3192,0.003
22,PO,60.3106,0.0019,0.3337,0.0031
24,PO,55.5333,0.0018,0.3234,0.003
26,PO,51.2899,0.0018,0.3073,0.0028
28,PO,47.888,0.0017,0.2956,0.0028
30,PO,44.8872,0.0016,0.2872,0.0027
32,PO,42.1656,0.0016,0.2805,0.0026
34,PO,39.7718,0.0016,0.276,0.0026
36,PO,37.5553,0.0016,0.2712,0.0025
38,PO,35.7889,0.0015,0.2671,0.0025
40,PO,33.9961,0.0015,0.2613,0.0024
