Treads,App,Time,Energy,CO2eq,travelled
2,ST,123.7922,0.0021,0.3654,0.0034
4,ST,65.9519,0.0012,0.2141,0.002
6,ST,50.3573,0.001,0.1732,0.0016
8,ST,43.4799,0.0009,0.1595,0.0015
10,ST,40.6572,0.0009,0.1558,0.0014
12,ST,39.7298,0.0009,0.1582,0.0015
14,ST,40.4132,0.001,0.1675,0.0016
16,ST,39.9267,0.001,0.1715,0.0016
18,ST,39.9192,0.001,0.1771,0.0016
20,ST,39.843,0.001,0.1837,0.0017
22,ST,36.0084,0.0011,0.192,0.0018
24,ST,33.2252,0.0011,0.1895,0.0018
26,ST,30.9093,0.001,0.1829,0.0017
28,ST,28.7054,0.001,0.1754,0.0016
30,ST,26.6195,0.001,0.1684,0.0016
32,ST,24.8402,0.0009,0.1627,0.0015
34,ST,23.3804,0.0009,0.1576,0.0014
36,ST,22.1037,0.0009,0.1553,0.0014
38,ST,20.9076,0.0009,0.1508,0.0014
40,ST,20.1594,0.0009,0.1494,0.0014
