Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,PO,209.17200,0:03:29,0.0077,3.6855,0.0343
4,PO,189.58856,0:03:10,0.0072,3.4703,0.0323
6,PO,186.09817,0:03:06,0.0073,3.5023,0.0326
8,PO,181.90687,0:03:02,0.0073,3.4904,0.0325
10,PO,176.80420,0:02:57,0.0071,3.4387,0.0320
12,PO,172.75157,0:02:53,0.0072,3.4507,0.0321
14,PO,165.54069,0:02:46,0.0070,3.3700,0.0313
16,PO,158.13790,0:02:38,0.0068,3.2520,0.0303
18,PO,149.48077,0:02:29,0.0065,3.1143,0.0290
20,PO,142.76798,0:02:23,0.0062,2.9913,0.0278
22,PO,142.67240,0:02:23,0.0063,3.0279,0.0282
24,PO,141.57730,0:02:22,0.0062,2.9600,0.0275
26,PO,131.18764,0:02:11,0.0057,2.7579,0.0257
28,PO,123.53762,0:02:04,0.0056,2.6786,0.0249
30,PO,114.34435,0:01:54,0.0053,2.5492,0.0237
32,PO,108.19205,0:01:48,0.0051,2.4752,0.0230
34,PO,102.30291,0:01:42,0.0050,2.4089,0.0224
36,PO,95.43115,0:01:35,0.0048,2.3113,0.0215
38,PO,90.05587,0:01:30,0.0047,2.2473,0.0209
40,PO,84.55148,0:01:25,0.0045,2.1608,0.0201
42,PO,83.28552,0:01:23,0.0045,2.1648,0.0201
44,PO,77.94472,0:01:18,0.0042,2.0419,0.0190
46,PO,73.77127,0:01:14,0.0041,1.9651,0.0183
48,PO,72.18243,0:01:12,0.0040,1.9457,0.0181
