Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,ST,121.52518,0:02:02,0.0043,0.4245,0.0039
4,ST,110.05137,0:01:50,0.0041,0.4045,0.0038
6,ST,107.91313,0:01:48,0.0042,0.4088,0.0038
8,ST,104.70516,0:01:45,0.0041,0.4071,0.0038
10,ST,101.79983,0:01:42,0.0041,0.4032,0.0038
12,ST,99.53007,0:01:40,0.0041,0.4015,0.0037
14,ST,95.31038,0:01:35,0.0039,0.3883,0.0036
16,ST,92.71269,0:01:33,0.0039,0.3861,0.0036
18,ST,88.12384,0:01:28,0.0038,0.3716,0.0035
20,ST,83.75709,0:01:24,0.0036,0.3534,0.0033
22,ST,85.48392,0:01:26,0.0037,0.3686,0.0034
24,ST,86.66516,0:01:27,0.0038,0.3706,0.0034
26,ST,78.93142,0:01:19,0.0035,1.6919,0.0157
28,ST,74.15096,0:01:14,0.0034,1.6368,0.0152
30,ST,68.00992,0:01:08,0.0032,1.5433,0.0144
32,ST,63.35797,0:01:03,0.0031,1.4735,0.0137
34,ST,57.82013,0:00:58,0.0029,1.3936,0.0130
36,ST,55.80455,0:00:56,0.0028,1.3608,0.0127
38,ST,50.93269,0:00:51,0.0025,1.2166,0.0113
40,ST,49.25961,0:00:49,0.0026,1.2461,0.0116
42,ST,45.17668,0:00:45,0.0024,1.1753,0.0109
44,ST,45.17509,0:00:45,0.0025,1.1828,0.0110
46,ST,41.92374,0:00:42,0.0023,1.1188,0.0104
48,ST,40.86204,0:00:41,0.0023,1.1042,0.0103
