Treads,App,Time,Energy,CO2eq,travelled
2,PO,209.0406,0.0076,1.336,0.0124
4,PO,189.7529,0.0072,1.2607,0.0117
6,PO,185.6753,0.0073,1.2717,0.0118
8,PO,181.7914,0.0073,1.2717,0.0119
10,PO,177.1441,0.0072,1.2594,0.0117
12,PO,171.7852,0.0071,1.2455,0.0116
14,PO,165.4091,0.007,1.2217,0.0114
16,PO,157.8508,0.0068,1.1778,0.011
18,PO,150.1788,0.0065,1.1378,0.0106
20,PO,143.8861,0.0063,1.0943,0.0102
22,PO,142.115,0.0063,1.0974,0.0102
24,PO,141.7204,0.0062,1.0769,0.01
26,PO,131.9804,0.0058,1.0188,0.0095
28,PO,122.9756,0.0056,0.9709,0.009
30,PO,114.5665,0.0053,0.9266,0.0086
32,PO,107.0281,0.0051,0.8925,0.0083
34,PO,101.0169,0.005,0.8688,0.0081
36,PO,94.9786,0.0048,0.834,0.0078
38,PO,90.4388,0.0047,0.8181,0.0076
40,PO,85.3372,0.0045,0.7912,0.0074
42,PO,81.5904,0.0044,0.7694,0.0072
44,PO,77.836,0.0042,0.7409,0.0069
46,PO,74.4287,0.0041,0.7205,0.0067
48,PO,71.3001,0.004,0.6997,0.0065
