Treads,App,Time,Energy,CO2eq,travelled
2,ST,121.8945,0.0044,0.7707,0.0072
4,ST,109.9491,0.0041,0.7176,0.0067
6,ST,107.797,0.0042,0.728,0.0068
8,ST,105.0245,0.0042,0.727,0.0068
10,ST,102.3301,0.0041,0.7224,0.0067
12,ST,99.5933,0.0041,0.7117,0.0066
14,ST,95.4876,0.004,0.6919,0.0064
16,ST,92.2213,0.0039,0.6807,0.0064
18,ST,88.8143,0.0038,0.665,0.0062
20,ST,84.2823,0.0036,0.6317,0.0059
22,ST,85.4876,0.0038,0.6586,0.0061
24,ST,86.0005,0.0038,0.6542,0.0061
26,ST,78.691,0.0035,0.752,0.007
28,ST,75.1688,0.0034,0.7343,0.0068
30,ST,68.9558,0.0032,0.6915,0.0064
32,ST,62.6601,0.003,0.6472,0.006
34,ST,59.4611,0.003,0.6335,0.0059
36,ST,54.8146,0.0028,0.5958,0.0055
38,ST,50.9305,0.0026,0.5582,0.0052
40,ST,48.6734,0.0026,0.545,0.0051
42,ST,46.6676,0.0025,0.5378,0.005
44,ST,45.3977,0.0025,0.5326,0.005
46,ST,41.9485,0.0023,0.4963,0.0046
48,ST,41.1092,0.0023,0.4953,0.0046
