Treads,App,Time,Energy,CO2eq,travelled
2,bfs,2.6275,0.0002,0.0663,0.0006
4,bfs,3.3595,0.0002,0.0758,0.0007
6,bfs,3.7413,0.0002,0.0788,0.0007
8,bfs,3.8927,0.0002,0.078,0.0007
10,bfs,4.3066,0.0002,0.0859,0.0008
12,bfs,4.7103,0.0003,0.0892,0.0008
14,bfs,5.037,0.0003,0.0958,0.0009
16,bfs,5.3869,0.0003,0.0997,0.0009
18,bfs,5.7888,0.0003,0.1053,0.001
20,bfs,6.1011,0.0003,0.1078,0.001
22,bfs,6.5497,0.0003,0.1146,0.0011
24,bfs,6.8613,0.0003,0.1163,0.0011
26,bfs,7.1948,0.0004,0.1215,0.0011
28,bfs,7.6637,0.0004,0.1273,0.0012
30,bfs,8.0683,0.0004,0.1318,0.0012
32,bfs,8.5312,0.0004,0.1361,0.0012
34,bfs,8.835,0.0004,0.1361,0.0012
36,bfs,9.3344,0.0004,0.1508,0.0014
38,bfs,9.5496,0.0004,0.1492,0.0014
40,bfs,9.8872,0.0005,0.1579,0.0015
42,bfs,10.3729,0.0005,0.1617,0.0015
44,bfs,10.7114,0.0005,0.1669,0.0016
46,bfs,12.469,0.0008,0.2578,0.0024
48,bfs,13.6655,0.0008,0.2916,0.0027
50,bfs,14.7539,0.0009,0.313,0.0029
52,bfs,15.7864,0.001,0.3307,0.0031
54,bfs,17.0241,0.0011,0.3601,0.0033
56,bfs,18.3151,0.0011,0.3871,0.0036
58,bfs,19.4755,0.0012,0.4023,0.0037
60,bfs,20.6591,0.0012,0.3935,0.0037
62,bfs,21.5357,0.0012,0.4098,0.0038
64,bfs,22.6368,0.0014,0.4773,0.0044
66,bfs,23.5354,0.0016,0.5609,0.0052
68,bfs,24.4418,0.0017,0.594,0.0055
70,bfs,26.0024,0.0019,0.6337,0.0059
72,bfs,27.1043,0.002,0.6701,0.0062
74,bfs,28.3881,0.0021,0.7096,0.0066
76,bfs,29.2355,0.0022,0.7383,0.0069
78,bfs,30.4196,0.0022,0.7706,0.0072
80,bfs,31.4724,0.0022,0.745,0.0069
82,bfs,32.9145,0.0022,0.7712,0.0072
84,bfs,33.8662,0.0025,0.8334,0.0078
86,bfs,34.8548,0.0028,0.9793,0.0091
88,bfs,36.0962,0.003,1.0206,0.0095
