Treads,App,Time,Energy,CO2eq,travelled
2,cutcp,46.1304,0.0017,0.6296,0.0058
4,cutcp,24.1767,0.001,0.3599,0.0034
6,cutcp,17.825,0.0008,0.2817,0.0026
8,cutcp,13.8779,0.0006,0.2252,0.0021
10,cutcp,11.4523,0.0005,0.1874,0.0018
12,cutcp,9.9801,0.0005,0.1643,0.0015
14,cutcp,8.683,0.0004,0.1522,0.0014
16,cutcp,8.0126,0.0004,0.1376,0.0013
18,cutcp,7.2773,0.0003,0.1252,0.0012
20,cutcp,6.6453,0.0003,0.1192,0.0011
22,cutcp,6.0671,0.0003,0.1181,0.0011
24,cutcp,5.712,0.0003,0.1184,0.0011
26,cutcp,5.2442,0.0003,0.1108,0.001
28,cutcp,4.8973,0.0003,0.1063,0.001
30,cutcp,4.5771,0.0003,0.1028,0.001
32,cutcp,4.3617,0.0003,0.1,0.0009
34,cutcp,4.1492,0.0003,0.0971,0.0009
36,cutcp,3.9689,0.0003,0.0965,0.0009
38,cutcp,3.8049,0.0003,0.094,0.0009
40,cutcp,3.6003,0.0002,0.0911,0.0008
42,cutcp,3.5009,0.0002,0.0924,0.0008
44,cutcp,3.3495,0.0002,0.093,0.0009
46,cutcp,3.1594,0.0002,0.0901,0.0009
48,cutcp,3.0783,0.0002,0.0922,0.0009
50,cutcp,3.068,0.0002,0.0885,0.0008
52,cutcp,2.9441,0.0002,0.0873,0.0008
54,cutcp,2.8853,0.0002,0.0909,0.0008
56,cutcp,2.799,0.0002,0.0878,0.0008
58,cutcp,2.8059,0.0002,0.0915,0.0008
60,cutcp,2.5916,0.0002,0.0849,0.0008
62,cutcp,2.5897,0.0002,0.0805,0.0008
64,cutcp,2.5327,0.0002,0.0841,0.0008
66,cutcp,2.5224,0.0002,0.0866,0.0008
68,cutcp,2.3684,0.0002,0.0833,0.0008
70,cutcp,2.355,0.0002,0.0816,0.0008
72,cutcp,2.2612,0.0002,0.0834,0.0008
74,cutcp,2.2101,0.0002,0.0834,0.0008
76,cutcp,2.1956,0.0002,0.0779,0.0007
78,cutcp,2.1073,0.0002,0.079,0.0007
80,cutcp,2.1152,0.0002,0.0813,0.0008
82,cutcp,2.0684,0.0002,0.0808,0.0008
84,cutcp,2.0023,0.0002,0.0764,0.0007
86,cutcp,1.9526,0.0002,0.0802,0.0007
88,cutcp,1.9281,0.0002,0.0799,0.0007
