Treads,App,Time,Energy,CO2eq,travelled
2,histo,176.7299,0.0063,2.165,0.0201
4,histo,861.3593,0.0323,10.8152,0.1006
6,histo,1083.1676,0.0416,14.0614,0.1308
8,histo,1274.9254,0.0504,17.3047,0.161
10,histo,1346.1946,0.0547,18.6267,0.1733
12,histo,1516.7426,0.063,21.9446,0.2041
14,histo,1624.7417,0.0687,20.9863,0.1952
16,histo,1670.8879,0.0716,22.0543,0.2052
18,histo,1899.4913,0.0827,25.5453,0.2376
20,histo,1909.6004,0.0768,25.2905,0.2353
22,histo,2133.9319,0.0878,28.7857,0.2678
24,histo,2129.4378,0.0794,27.8328,0.2589
26,histo,2248.5442,0.0319,8.1663,0.076
28,histo,2337.7662,0.0228,7.233,0.0673
30,histo,2385.5901,0.0238,7.3348,0.0682
32,histo,2570.1964,0.0262,7.9968,0.0744
34,histo,2675.6531,0.0138,1.9632,0.0183
36,histo,2671.1548,0.0141,1.993,0.0185
38,histo,2749.7957,0.0149,2.1087,0.0196
40,histo,3191.353,0.0175,2.4823,0.0231
42,histo,,0.0,0.0003,0.0
44,histo,,0.0,0.0,0.0
46,histo,,0.0,0.0,0.0
48,histo,,0.0,0.0,0.0
50,histo,,0.0,0.0,0.0
52,histo,,0.0,0.0,0.0
54,histo,,0.0,0.0,0.0
56,histo,,0.0,0.0,0.0
58,histo,,0.0,0.0,0.0
60,histo,,0.0,0.0,0.0
62,histo,,0.0,0.0,0.0
64,histo,,0.0,0.0,0.0
66,histo,,0.0,0.0,0.0
68,histo,,0.0,0.0,0.0
70,histo,,0.0,0.0,0.0
72,histo,,0.0,0.0,0.0
74,histo,,0.0,0.0002,0.0
76,histo,,0.0,0.0,0.0
78,histo,,0.0,0.0,0.0
80,histo,,0.0,0.0,0.0
82,histo,,0.0,0.0,0.0
84,histo,,0.0,0.0,0.0
86,histo,,0.0,0.0,0.0
88,histo,,0.0,0.0,0.0
