Treads,App,Time,Energy,CO2eq,travelled
2,lbm,664.5978,0.0249,9.3316,0.0868
4,lbm,354.5638,0.0145,5.4361,0.0506
6,lbm,259.6379,0.0113,4.2294,0.0393
8,lbm,201.2627,0.0093,3.498,0.0325
10,lbm,166.1126,0.008,2.9959,0.0279
12,lbm,144.6161,0.0073,2.4817,0.0231
14,lbm,128.6624,0.0066,2.4947,0.0232
16,lbm,116.6339,0.0063,2.3612,0.022
18,lbm,106.5573,0.0059,2.1981,0.0205
20,lbm,96.6738,0.0055,2.0636,0.0192
22,lbm,88.6346,0.0051,1.9076,0.0177
24,lbm,81.8322,0.0052,1.9315,0.018
26,lbm,75.9883,0.0047,1.7652,0.0164
28,lbm,71.1929,0.0048,1.6569,0.0154
30,lbm,67.8185,0.0047,1.6125,0.015
32,lbm,65.0653,0.0044,1.4976,0.0139
34,lbm,63.8582,0.0046,1.5914,0.0148
36,lbm,63.0104,0.0048,1.6274,0.0151
38,lbm,62.0008,0.0048,1.6292,0.0152
40,lbm,61.6393,0.0049,1.6766,0.0156
42,lbm,61.6317,0.0049,1.6782,0.0156
44,lbm,61.6742,0.0049,1.6832,0.0157
46,lbm,59.2579,0.005,1.6896,0.0157
48,lbm,56.8059,0.0047,1.5964,0.0148
50,lbm,54.6128,0.0043,1.4721,0.0137
52,lbm,52.8298,0.0045,1.5406,0.0143
54,lbm,51.2261,0.0046,1.5516,0.0144
56,lbm,49.2232,0.0045,1.5308,0.0142
58,lbm,47.8035,0.0045,1.5446,0.0144
60,lbm,46.0602,0.0044,1.4848,0.0138
62,lbm,43.9048,0.0037,1.282,0.0119
64,lbm,40.5854,0.004,1.3765,0.0128
66,lbm,36.4961,0.0039,1.3218,0.0123
68,lbm,33.6923,0.003,1.0463,0.0097
70,lbm,32.286,0.003,1.0229,0.0095
72,lbm,30.9888,0.0032,1.2068,0.0112
74,lbm,29.9765,0.0034,1.2837,0.0119
76,lbm,29.3044,0.0035,1.2932,0.012
78,lbm,28.6153,0.0035,1.301,0.0121
80,lbm,28.0354,0.0035,1.2922,0.012
82,lbm,27.8412,0.0035,1.3106,0.0122
84,lbm,27.8135,0.0036,1.33,0.0124
86,lbm,28.0377,0.0036,1.3504,0.0126
88,lbm,28.8396,0.0037,1.3757,0.0128
