Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,bfs,2.845142,0:00:06,0.0002,0.0273,0.0003
4,bfs,3.600253,0:00:06,0.0002,0.0316,0.0003
6,bfs,3.685424,0:00:06,0.0002,0.0328,0.0003
8,bfs,4.259871,0:00:07,0.0002,0.0296,0.0003
10,bfs,4.646752,0:00:08,0.0002,0.0352,0.0003
12,bfs,4.809199,0:00:08,0.0003,0.0380,0.0004
14,bfs,4.930515,0:00:08,0.0003,0.0393,0.0004
16,bfs,5.666637,0:00:08,0.0003,0.0422,0.0004
18,bfs,6.032347,0:00:09,0.0003,0.0442,0.0004
20,bfs,6.189615,0:00:09,0.0003,0.0455,0.0004
22,bfs,6.597741,0:00:09,0.0003,0.0479,0.0004
24,bfs,7.027804,0:00:10,0.0003,0.0496,0.0005
26,bfs,7.328621,0:00:10,0.0003,0.0428,0.0004
28,bfs,7.908447,0:00:11,0.0004,0.0543,0.0005
30,bfs,8.405643,0:00:11,0.0004,0.0558,0.0005
32,bfs,8.632805,0:00:12,0.0004,0.0576,0.0005
34,bfs,9.177353,0:00:12,0.0004,0.0591,0.0005
36,bfs,9.187158,0:00:12,0.0004,0.0589,0.0005
38,bfs,9.493719,0:00:12,0.0004,0.0635,0.0006
40,bfs,10.365861,0:00:13,0.0005,0.0687,0.0006
42,bfs,10.319652,0:00:13,0.0005,0.0676,0.0006
44,bfs,10.909979,0:00:14,0.0005,0.0711,0.0007
46,bfs,12.697841,0:00:15,0.0008,0.1083,0.0010
48,bfs,13.598716,0:00:17,0.0008,0.1122,0.0010
50,bfs,14.788817,0:00:18,0.0009,0.1296,0.0012
52,bfs,16.232729,0:00:19,0.0010,0.1420,0.0013
54,bfs,17.407352,0:00:20,0.0011,0.1530,0.0014
56,bfs,18.608620,0:00:21,0.0012,0.1641,0.0015
58,bfs,19.577394,0:00:23,0.0012,0.1727,0.0016
60,bfs,20.738720,0:00:23,0.0011,0.1629,0.0015
62,bfs,21.197294,0:00:24,0.0012,0.1662,0.0015
64,bfs,22.286579,0:00:25,0.0013,0.1800,0.0017
66,bfs,24.054413,0:00:27,0.0017,0.2402,0.0022
68,bfs,24.018229,0:00:27,0.0017,0.2399,0.0022
70,bfs,25.968229,0:00:29,0.0019,0.2646,0.0025
72,bfs,27.313421,0:00:30,0.0020,0.2797,0.0026
74,bfs,27.466373,0:00:30,0.0020,0.2860,0.0027
76,bfs,29.375849,0:00:32,0.0022,0.3078,0.0029
78,bfs,30.500128,0:00:33,0.0023,0.3226,0.0030
80,bfs,30.969717,0:00:34,0.0023,0.3314,0.0031
82,bfs,32.116600,0:00:35,0.0022,0.3097,0.0029
84,bfs,35.052719,0:00:38,0.0028,0.4030,0.0037
86,bfs,35.890900,0:00:39,0.0029,0.4170,0.0039
88,bfs,36.924129,0:00:40,0.0031,0.4347,0.0040
