Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,cutcp,46.263062,0:00:47,0.0017,0.2400,0.0022
4,cutcp,24.130596,0:00:24,0.0010,0.1376,0.0013
6,cutcp,17.854036,0:00:21,0.0009,0.1227,0.0011
8,cutcp,13.882434,0:00:14,0.0006,0.0855,0.0008
10,cutcp,11.434138,0:00:12,0.0005,0.0721,0.0007
12,cutcp,10.023889,0:00:10,0.0005,0.0645,0.0006
14,cutcp,8.718497,0:00:09,0.0004,0.0536,0.0005
16,cutcp,7.989610,0:00:08,0.0004,0.0547,0.0005
18,cutcp,7.237796,0:00:07,0.0004,0.0508,0.0005
20,cutcp,6.663242,0:00:07,0.0004,0.0515,0.0005
22,cutcp,6.046907,0:00:06,0.0003,0.0432,0.0004
24,cutcp,5.646308,0:00:06,0.0003,0.0445,0.0004
26,cutcp,5.274431,0:00:05,0.0003,0.0435,0.0004
28,cutcp,4.905865,0:00:05,0.0003,0.0402,0.0004
30,cutcp,4.667312,0:00:05,0.0003,0.0416,0.0004
32,cutcp,4.340137,0:00:04,0.0003,0.0382,0.0004
34,cutcp,4.175597,0:00:04,0.0003,0.0371,0.0003
36,cutcp,4.172870,0:00:04,0.0003,0.0380,0.0004
38,cutcp,3.805477,0:00:04,0.0003,0.0359,0.0003
40,cutcp,3.616932,0:00:04,0.0002,0.0328,0.0003
42,cutcp,3.413097,0:00:04,0.0002,0.0239,0.0002
44,cutcp,3.305090,0:00:03,0.0002,0.0345,0.0003
46,cutcp,3.160892,0:00:03,0.0002,0.0343,0.0003
48,cutcp,3.062470,0:00:03,0.0002,0.0346,0.0003
50,cutcp,3.144126,0:00:03,0.0003,0.0374,0.0003
52,cutcp,2.926832,0:00:03,0.0002,0.0351,0.0003
54,cutcp,2.853347,0:00:03,0.0002,0.0286,0.0003
56,cutcp,2.782379,0:00:03,0.0002,0.0333,0.0003
58,cutcp,2.782965,0:00:03,0.0002,0.0341,0.0003
60,cutcp,2.566614,0:00:03,0.0002,0.0323,0.0003
62,cutcp,2.552433,0:00:03,0.0002,0.0317,0.0003
64,cutcp,2.507653,0:00:03,0.0002,0.0322,0.0003
66,cutcp,2.520230,0:00:03,0.0002,0.0340,0.0003
68,cutcp,2.371493,0:00:03,0.0002,0.0297,0.0003
70,cutcp,2.339237,0:00:02,0.0002,0.0313,0.0003
72,cutcp,2.265973,0:00:02,0.0002,0.0314,0.0003
74,cutcp,2.187819,0:00:02,0.0002,0.0306,0.0003
76,cutcp,2.178213,0:00:02,0.0002,0.0309,0.0003
78,cutcp,2.100924,0:00:02,0.0002,0.0306,0.0003
80,cutcp,2.079221,0:00:02,0.0002,0.0306,0.0003
82,cutcp,2.082980,0:00:02,0.0002,0.0312,0.0003
84,cutcp,2.010949,0:00:02,0.0002,0.0302,0.0003
86,cutcp,1.917023,0:00:02,0.0002,0.0294,0.0003
88,cutcp,1.934432,0:00:02,0.0002,0.0287,0.0003
