Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,histo,176.973038,0:02:57,0.0063,3.0057,0.0280
4,histo,855.994385,0:14:17,0.0320,15.2225,0.1416
6,histo,1010.833069,0:16:52,0.0389,18.4541,0.1717
8,histo,1415.188110,0:23:36,0.0560,26.5809,0.2473
10,histo,1232.210938,0:20:32,0.0502,23.8419,0.2218
12,histo,1679.820312,0:28:00,0.0698,33.1367,0.3082
14,histo,1449.391602,0:24:10,0.0616,29.2730,0.2723
16,histo,1531.673462,0:25:33,0.0655,31.1199,0.2895
18,histo,1692.877075,0:28:14,0.0738,35.0326,0.3259
20,histo,1829.379150,0:30:31,0.0817,38.8182,0.3611
22,histo,2211.819580,0:36:52,0.1013,48.1392,0.4478
24,histo,2028.236938,0:33:50,0.0946,44.9345,0.4180
26,histo,2292.206543,0:38:14,0.1093,51.9026,0.4828
28,histo,2451.823730,0:40:53,0.1202,57.0889,0.5311
30,histo,2393.669189,0:39:55,0.1188,56.4434,0.5251
32,histo,2519.359619,0:42:01,0.1287,61.1424,0.5688
34,histo,NaN,0:00:01,0.0000,0.0000,0.0000
36,histo,NaN,0:00:00,0.0000,0.0000,0.0000
38,histo,NaN,0:00:00,0.0000,0.0000,0.0000
40,histo,NaN,0:00:00,0.0000,0.0000,0.0000
42,histo,NaN,0:00:00,0.0000,0.0000,0.0000
44,histo,NaN,0:00:00,0.0000,0.0000,0.0000
46,histo,NaN,0:00:00,0.0000,0.0000,0.0000
48,histo,NaN,0:00:00,0.0000,0.0000,0.0000
50,histo,NaN,0:00:00,0.0000,0.0000,0.0000
52,histo,NaN,0:00:00,0.0000,0.0000,0.0000
54,histo,NaN,0:00:00,0.0000,0.0000,0.0000
56,histo,NaN,0:00:00,0.0000,0.0000,0.0000
58,histo,NaN,0:00:00,0.0000,0.0000,0.0000
60,histo,NaN,0:00:00,0.0000,0.0000,0.0000
62,histo,NaN,0:00:00,0.0000,0.0000,0.0000
64,histo,NaN,0:00:00,0.0000,0.0000,0.0000
66,histo,NaN,0:00:00,0.0000,0.0000,0.0000
68,histo,NaN,0:00:00,0.0000,0.0000,0.0000
70,histo,NaN,0:00:00,0.0000,0.0000,0.0000
72,histo,NaN,0:00:00,0.0000,0.0000,0.0000
74,histo,NaN,0:00:00,0.0000,0.0000,0.0000
76,histo,NaN,0:00:00,0.0000,0.0000,0.0000
78,histo,NaN,0:00:00,0.0000,0.0000,0.0000
80,histo,NaN,0:00:00,0.0000,0.0000,0.0000
82,histo,NaN,0:00:00,0.0000,0.0000,0.0000
84,histo,NaN,0:00:00,0.0000,0.0000,0.0000
86,histo,NaN,0:00:00,0.0000,0.0000,0.0000
88,histo,NaN,0:00:00,0.0000,0.0000,0.0000
