Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,lbm,666.217529,0:11:09,0.0250,11.8538,0.1103
4,lbm,354.952667,0:05:59,0.0141,6.7187,0.0625
6,lbm,260.329803,0:04:24,0.0112,5.3373,0.0496
8,lbm,201.960114,0:03:26,0.0092,4.3891,0.0408
10,lbm,167.105835,0:02:51,0.0080,3.8156,0.0355
12,lbm,145.011520,0:02:29,0.0072,3.4197,0.0318
14,lbm,129.126572,0:02:13,0.0065,3.0742,0.0286
16,lbm,116.978951,0:02:00,0.0062,2.9443,0.0274
18,lbm,106.860756,0:01:50,0.0057,2.7093,0.0252
20,lbm,97.393547,0:01:41,0.0054,2.5803,0.0240
22,lbm,88.293655,0:01:32,0.0049,2.3216,0.0216
24,lbm,82.520607,0:01:26,0.0053,2.5143,0.0234
26,lbm,76.359879,0:01:19,0.0046,2.1870,0.0203
28,lbm,71.016243,0:01:14,0.0048,2.2948,0.0213
30,lbm,68.207382,0:01:11,0.0048,2.2630,0.0211
32,lbm,65.572334,0:01:09,0.0044,2.0974,0.0195
34,lbm,63.258434,0:01:06,0.0047,2.2120,0.0206
36,lbm,62.677132,0:01:06,0.0049,2.3116,0.0215
38,lbm,62.213165,0:01:05,0.0045,2.1423,0.0199
40,lbm,61.711899,0:01:04,0.0049,2.3132,0.0215
42,lbm,61.674927,0:01:05,0.0049,2.3392,0.0218
44,lbm,61.905212,0:01:05,0.0047,2.2255,0.0207
46,lbm,59.712044,0:01:02,0.0049,2.3302,0.0217
48,lbm,56.717144,0:01:00,0.0045,2.1289,0.0198
50,lbm,54.638500,0:00:57,0.0043,2.0615,0.0192
52,lbm,52.901180,0:00:56,0.0047,2.2263,0.0207
54,lbm,51.482880,0:00:55,0.0044,2.0778,0.0193
56,lbm,49.636944,0:00:53,0.0046,2.1972,0.0204
58,lbm,47.741611,0:00:51,0.0043,2.0396,0.0190
60,lbm,46.025665,0:00:49,0.0043,2.0330,0.0189
62,lbm,44.664043,0:00:48,0.0037,1.7479,0.0163
64,lbm,41.106167,0:00:44,0.0041,1.9329,0.0180
66,lbm,36.052666,0:00:39,0.0037,1.7645,0.0164
68,lbm,34.264320,0:00:39,0.0032,1.5178,0.0141
70,lbm,32.335232,0:00:35,0.0029,1.3767,0.0128
72,lbm,30.632898,0:00:33,0.0035,1.6784,0.0156
74,lbm,30.231415,0:00:33,0.0035,1.6464,0.0153
76,lbm,30.823523,0:00:34,0.0036,1.6985,0.0158
78,lbm,29.321413,0:00:32,0.0035,1.6806,0.0156
80,lbm,28.483831,0:00:31,0.0033,1.5761,0.0147
82,lbm,27.572666,0:00:30,0.0032,1.5404,0.0143
84,lbm,27.809029,0:00:30,0.0035,1.6640,0.0155
86,lbm,28.347900,0:00:31,0.0036,1.7145,0.0159
88,lbm,29.203720,0:00:32,0.0036,1.7204,0.0160
