Treads,App,TimeCT,Energy,CO2eq,travelled
2,mri,0:00:00,0.0,0.0000,0.0000
4,mri,0:00:00,0.0,0.0000,0.0000
6,mri,0:00:00,0.0,0.0000,0.0000
8,mri,0:00:00,0.0,0.0000,0.0000
10,mri,0:00:00,0.0,0.0000,0.0000
12,mri,0:00:00,0.0,0.0000,0.0000
14,mri,0:00:01,0.0,0.0000,0.0000
16,mri,0:00:00,0.0,0.0000,0.0000
18,mri,0:00:00,0.0,0.0000,0.0000
20,mri,0:00:00,0.0,0.0000,0.0000
22,mri,0:00:00,0.0,0.0000,0.0000
24,mri,0:00:00,0.0,0.0000,0.0000
26,mri,0:00:00,0.0,0.0000,0.0000
28,mri,0:00:00,0.0,0.0000,0.0000
30,mri,0:00:00,0.0,0.0000,0.0000
32,mri,0:00:00,0.0,0.0000,0.0000
34,mri,0:00:00,0.0,0.0000,0.0000
36,mri,0:00:00,0.0,0.0000,0.0000
38,mri,0:00:00,0.0,0.0000,0.0000
40,mri,0:00:03,0.0,0.0179,0.0002
42,mri,0:00:00,0.0,0.0000,0.0000
44,mri,0:00:00,0.0,0.0000,0.0000
46,mri,0:00:00,0.0,0.0000,0.0000
48,mri,0:00:00,0.0,0.0000,0.0000
50,mri,0:00:01,0.0,0.0000,0.0000
52,mri,0:00:00,0.0,0.0000,0.0000
54,mri,0:00:00,0.0,0.0000,0.0000
56,mri,0:00:00,0.0,0.0000,0.0000
58,mri,0:00:00,0.0,0.0000,0.0000
60,mri,0:00:00,0.0,0.0000,0.0000
62,mri,0:00:00,0.0,0.0000,0.0000
64,mri,0:00:00,0.0,0.0000,0.0000
66,mri,0:00:00,0.0,0.0000,0.0000
68,mri,0:00:00,0.0,0.0000,0.0000
70,mri,0:00:00,0.0,0.0000,0.0000
72,mri,0:00:00,0.0,0.0000,0.0000
74,mri,0:00:00,0.0,0.0000,0.0000
76,mri,0:00:01,0.0,0.0056,0.0001
78,mri,0:00:00,0.0,0.0000,0.0000
80,mri,0:00:00,0.0,0.0000,0.0000
82,mri,0:00:00,0.0,0.0000,0.0000
84,mri,0:00:01,0.0,0.0000,0.0000
86,mri,0:00:00,0.0,0.0000,0.0000
88,mri,0:00:00,0.0,0.0000,0.0000
