Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,bfs,4.291049,0:00:08,0.0002,0.0307,0.0003
4,bfs,4.554762,0:00:08,0.0002,0.0332,0.0003
6,bfs,5.114196,0:00:08,0.0003,0.0358,0.0003
8,bfs,5.599582,0:00:09,0.0003,0.0377,0.0004
10,bfs,5.718655,0:00:09,0.0003,0.0378,0.0004
12,bfs,5.980453,0:00:09,0.0003,0.0382,0.0004
14,bfs,6.367102,0:00:10,0.0003,0.0399,0.0004
16,bfs,6.763895,0:00:10,0.0003,0.0413,0.0004
18,bfs,7.217414,0:00:10,0.0003,0.0427,0.0004
20,bfs,7.594729,0:00:11,0.0003,0.0433,0.0004
22,bfs,10.801478,0:00:14,0.0004,0.0576,0.0005
24,bfs,11.028016,0:00:14,0.0004,0.0563,0.0005
26,bfs,12.221465,0:00:15,0.0006,0.0861,0.0008
28,bfs,13.343630,0:00:17,0.0007,0.0982,0.0009
30,bfs,14.714258,0:00:18,0.0008,0.1073,0.0010
32,bfs,16.080074,0:00:19,0.0008,0.1177,0.0011
34,bfs,16.751871,0:00:20,0.0008,0.1188,0.0011
36,bfs,17.805273,0:00:21,0.0009,0.1320,0.0012
38,bfs,18.505384,0:00:22,0.0010,0.1389,0.0013
40,bfs,19.858856,0:00:23,0.0009,0.1323,0.0012
