Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,cutcp,59.260460,0:00:59,0.0018,0.2606,0.0024
4,cutcp,30.650360,0:00:31,0.0010,0.1433,0.0013
6,cutcp,22.904089,0:00:23,0.0007,0.1040,0.0010
8,cutcp,18.191525,0:00:18,0.0006,0.0806,0.0007
10,cutcp,14.761960,0:00:15,0.0005,0.0719,0.0007
12,cutcp,12.515985,0:00:13,0.0004,0.0634,0.0006
14,cutcp,10.683016,0:00:11,0.0004,0.0567,0.0005
16,cutcp,9.514671,0:00:10,0.0004,0.0526,0.0005
18,cutcp,8.489168,0:00:09,0.0003,0.0495,0.0005
20,cutcp,7.653208,0:00:08,0.0003,0.0416,0.0004
22,cutcp,7.086398,0:00:07,0.0004,0.0516,0.0005
24,cutcp,6.629755,0:00:07,0.0003,0.0479,0.0004
26,cutcp,6.368913,0:00:07,0.0003,0.0477,0.0004
28,cutcp,5.708042,0:00:06,0.0003,0.0461,0.0004
30,cutcp,5.374031,0:00:06,0.0003,0.0436,0.0004
32,cutcp,5.279600,0:00:06,0.0003,0.0416,0.0004
34,cutcp,4.964921,0:00:05,0.0003,0.0439,0.0004
36,cutcp,4.677650,0:00:06,0.0001,0.0101,0.0001
38,cutcp,4.589749,0:00:07,0.0004,0.0596,0.0006
40,cutcp,4.342140,0:00:04,0.0003,0.0398,0.0004
