Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,histo,218.675293,0:03:39,0.0063,0.8861,0.0082
4,histo,833.922852,0:13:54,0.0251,3.5583,0.0331
6,histo,1179.607300,0:19:41,0.0362,5.1356,0.0478
8,histo,1213.614624,0:20:14,0.0391,5.5375,0.0515
10,histo,1446.562866,0:24:07,0.0476,6.7420,0.0627
12,histo,1317.084717,0:21:57,0.0460,6.5172,0.0606
14,histo,1700.311890,0:28:21,0.0616,8.7392,0.0813
16,histo,1772.630005,0:29:34,0.0672,9.5310,0.0887
18,histo,1760.124268,0:29:22,0.0691,9.8036,0.0912
20,histo,1851.973511,0:30:52,0.0759,10.7678,0.1002
22,histo,1904.591919,0:31:46,0.0790,11.1989,0.1042
24,histo,1849.425781,0:30:50,0.0776,11.0058,0.1024
26,histo,2030.739014,0:33:52,0.0870,12.3383,0.1148
28,histo,2164.249268,0:36:06,0.0963,45.7448,0.4255
30,histo,2416.950684,0:40:18,0.1237,58.7736,0.5467
32,histo,2553.139404,0:42:35,0.1334,63.3629,0.5894
34,histo,2773.547852,0:46:15,0.1512,71.8018,0.6679
36,histo,2873.019775,0:47:55,0.1607,76.3558,0.7103
38,histo,3069.857910,0:51:11,0.1766,83.8751,0.7802
40,histo,3286.681152,0:54:48,0.1967,93.4166,0.8690
