Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,hotspot,119.724,0:02:01,0.0018,0.1786,0.0017
4,hotspot,74.298,0:01:16,0.0012,0.1229,0.0011
6,hotspot,44.717,0:00:46,0.0008,0.0799,0.0007
8,hotspot,41.504,0:00:43,0.0008,0.0767,0.0007
10,hotspot,29.855,0:00:32,0.0006,0.0592,0.0006
12,hotspot,26.191,0:00:28,0.0006,0.0555,0.0005
14,hotspot,22.880,0:00:24,0.0005,0.0503,0.0005
16,hotspot,22.970,0:00:24,0.0005,0.0530,0.0005
18,hotspot,17.973,0:00:19,0.0004,0.0436,0.0004
20,hotspot,16.914,0:00:19,0.0005,0.0445,0.0004
22,hotspot,14.651,0:00:16,0.0005,0.0473,0.0004
24,hotspot,14.219,0:00:16,0.0005,0.0471,0.0004
26,hotspot,13.771,0:00:15,0.0005,0.0456,0.0004
28,hotspot,13.220,0:00:15,0.0005,0.0456,0.0004
30,hotspot,12.467,0:00:14,0.0005,0.0446,0.0004
32,hotspot,13.085,0:00:15,0.0005,0.0488,0.0005
34,hotspot,11.267,0:00:13,0.0004,0.0401,0.0004
36,hotspot,10.928,0:00:13,0.0004,0.0431,0.0004
38,hotspot,10.909,0:00:13,0.0005,0.0446,0.0004
40,hotspot,10.362,0:00:12,0.0004,0.0419,0.0004
