Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,lbm,828.157166,0:13:52,0.0253,3.5862,0.0334
4,lbm,442.508972,0:07:27,0.0148,2.0914,0.0195
6,lbm,328.135742,0:05:32,0.0116,1.6431,0.0153
8,lbm,256.076752,0:04:20,0.0096,1.3626,0.0127
10,lbm,211.068192,0:03:35,0.0083,1.1836,0.0110
12,lbm,179.903259,0:03:04,0.0076,1.0808,0.0101
14,lbm,155.617966,0:02:40,0.0069,0.9793,0.0091
16,lbm,136.456039,0:02:21,0.0065,0.9153,0.0085
18,lbm,122.233040,0:02:06,0.0060,0.8512,0.0079
20,lbm,109.894020,0:01:54,0.0055,0.7813,0.0073
22,lbm,100.301559,0:01:44,0.0062,0.8749,0.0081
24,lbm,91.487053,0:01:36,0.0059,0.8396,0.0078
26,lbm,84.634354,0:01:28,0.0060,0.8555,0.0080
28,lbm,79.171967,0:01:23,0.0055,0.7834,0.0073
30,lbm,73.294411,0:01:17,0.0054,0.7695,0.0072
32,lbm,68.997902,0:01:13,0.0055,0.7843,0.0073
34,lbm,64.977547,0:01:09,0.0048,0.6739,0.0063
36,lbm,61.239864,0:01:05,0.0050,0.7121,0.0066
38,lbm,58.517979,0:01:02,0.0052,0.7360,0.0068
40,lbm,55.946152,0:01:00,0.0044,0.6251,0.0058
