Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,lud,391044.952,0:06:31,0.0058,0.5689,0.0053
4,lud,194364.794,0:03:15,0.0031,0.3065,0.0029
6,lud,135641.574,0:02:16,0.0023,0.2252,0.0021
8,lud,103302.723,0:01:44,0.0018,0.1803,0.0017
10,lud,83700.571,0:01:24,0.0016,0.1529,0.0014
12,lud,71420.997,0:01:12,0.0014,0.1378,0.0013
14,lud,61745.325,0:01:02,0.0013,0.1247,0.0012
16,lud,53599.787,0:00:54,0.0012,0.1144,0.0011
18,lud,47455.403,0:00:48,0.0011,0.1068,0.0010
20,lud,42903.754,0:00:43,0.0010,0.1010,0.0009
22,lud,37694.787,0:00:38,0.0011,0.1087,0.0010
24,lud,36112.312,0:00:37,0.0011,0.1070,0.0010
26,lud,33668.036,0:00:34,0.0010,0.1030,0.0010
28,lud,31953.483,0:00:32,0.0010,0.0994,0.0009
30,lud,30329.360,0:00:31,0.0010,0.0964,0.0009
32,lud,28584.381,0:00:29,0.0009,0.0932,0.0009
34,lud,27618.100,0:00:28,0.0009,0.0919,0.0009
36,lud,25811.466,0:00:26,0.0009,0.0888,0.0008
38,lud,25055.491,0:00:25,0.0009,0.0884,0.0008
40,lud,24108.173,0:00:24,0.0009,0.0866,0.0008
