Treads,App,TimeCT,Energy,CO2eq,travelled
2,mri,0:00:00,0.0,0.0000,0.0
4,mri,0:00:00,0.0,0.0000,0.0
6,mri,0:00:00,0.0,0.0000,0.0
8,mri,0:00:00,0.0,0.0000,0.0
10,mri,0:00:00,0.0,0.0000,0.0
12,mri,0:00:00,0.0,0.0000,0.0
14,mri,0:00:00,0.0,0.0000,0.0
16,mri,0:00:00,0.0,0.0000,0.0
18,mri,0:00:00,0.0,0.0000,0.0
20,mri,0:00:01,0.0,0.0000,0.0
22,mri,0:00:01,0.0,0.0019,0.0
24,mri,0:00:00,0.0,0.0000,0.0
26,mri,0:00:00,0.0,0.0000,0.0
28,mri,0:00:00,0.0,0.0000,0.0
30,mri,0:00:00,0.0,0.0000,0.0
32,mri,0:00:00,0.0,0.0000,0.0
34,mri,0:00:00,0.0,0.0000,0.0
36,mri,0:00:00,0.0,0.0000,0.0
38,mri,0:00:00,0.0,0.0000,0.0
40,mri,0:00:01,0.0,0.0023,0.0
