Treads,App,TimeCT,Energy,CO2eq,travelled
2,streamcluster,0:05:37,0.0053,0.5179,0.0048
4,streamcluster,0:03:01,0.0031,0.3017,0.0028
6,streamcluster,0:02:14,0.0024,0.2339,0.0022
8,streamcluster,0:01:48,0.0020,0.1986,0.0018
10,streamcluster,0:01:32,0.0018,0.1779,0.0017
12,streamcluster,0:01:19,0.0016,0.1622,0.0015
14,streamcluster,0:01:11,0.0016,0.1526,0.0014
16,streamcluster,0:01:05,0.0015,0.1485,0.0014
18,streamcluster,0:01:02,0.0015,0.1478,0.0014
20,streamcluster,0:01:02,0.0015,0.1519,0.0014
22,streamcluster,0:00:59,0.0017,0.1641,0.0015
24,streamcluster,0:00:57,0.0016,0.1612,0.0015
26,streamcluster,0:00:56,0.0016,0.1612,0.0015
28,streamcluster,0:00:54,0.0016,0.1598,0.0015
30,streamcluster,0:00:53,0.0016,0.1575,0.0015
32,streamcluster,0:00:52,0.0016,0.1574,0.0015
34,streamcluster,0:00:50,0.0016,0.1552,0.0014
36,streamcluster,0:00:46,0.0015,0.1465,0.0014
38,streamcluster,0:00:47,0.0015,0.1490,0.0014
40,streamcluster,0:00:48,0.0016,0.1566,0.0015
