 Treads   App        Time Time CT  Energy   CO2eq  km travelled by car
      2   bfs    3,617850 0:00:07  0,0002  0,0282               0,0003
      4   bfs    4,132633 0:00:07  0,0002  0,0304               0,0003
      6   bfs    4,469052 0:00:08  0,0002  0,0315               0,0003
      8   bfs    4,870854 0:00:08  0,0002  0,0327               0,0003
     10   bfs    5,024549 0:00:08  0,0002  0,0338               0,0003
     12   bfs    7,553309 0:00:11  0,0003  0,0443               0,0004
     14   bfs    8,281198 0:00:12  0,0003  0,0471               0,0004
     16   bfs    9,000021 0:00:12  0,0004  0,0503               0,0005
     18   bfs   10,030936 0:00:13  0,0004  0,0541               0,0005
     20   bfs   11,129181 0:00:14  0,0004  0,0589               0,0005
     22   bfs   13,035700 0:00:17  0,0007  0,1058               0,0010
     24   bfs   13,543465 0:00:17  0,0008  0,1065               0,0010
     26   bfs   13,881172 0:00:17  0,0008  0,1086               0,0010
     28   bfs   14,494979 0:00:18  0,0008  0,1132               0,0011
     30   bfs   15,004245 0:00:18  0,0008  0,1170               0,0011
     32   bfs   16,054432 0:00:19  0,0009  0,1240               0,0012
     34   bfs   16,742239 0:00:20  0,0009  0,1291               0,0012
     36   bfs   17,754166 0:00:22  0,0010  0,1408               0,0013
     38   bfs   18,929821 0:00:22  0,0010  0,1446               0,0013
     40   bfs   20,034775 0:00:23  0,0010  0,1355               0,0013
      2   bfs    3,640143 0:00:07  0,0002  0,0291               0,0003
      4   bfs    4,176882 0:00:07  0,0002  0,0298               0,0003
      6   bfs         NaN 0:00:00  0,0000  0,0000               0,0000
      8   bfs    4,846411 0:00:08  0,0002  0,0331               0,0003
     10   bfs    5,042817 0:00:08  0,0002  0,0343               0,0003
     12   bfs    7,445454 0:00:11  0,0003  0,0443               0,0004
     14   bfs    8,081521 0:00:11  0,0003  0,0460               0,0004
     16   bfs    9,065416 0:00:12  0,0003  0,0493               0,0005
     18   bfs   10,267167 0:00:14  0,0004  0,0582               0,0005
     20   bfs   11,085746 0:00:14  0,0004  0,0543               0,0005
     22   bfs   13,333913 0:00:17  0,0007  0,1035               0,0010
     24   bfs   13,473802 0:00:17  0,0007  0,1052               0,0010
     26   bfs   14,102022 0:00:17  0,0008  0,1098               0,0010
     28   bfs   14,737979 0:00:18  0,0008  0,1148               0,0011
     30   bfs   15,369939 0:00:19  0,0008  0,1205               0,0011
     32   bfs   16,487085 0:00:20  0,0009  0,1278               0,0012
     34   bfs   17,020119 0:00:20  0,0009  0,1310               0,0012
     36   bfs   17,612106 0:00:21  0,0010  0,1366               0,0013
     38   bfs   18,528191 0:00:22  0,0010  0,1427               0,0013
     40   bfs   19,425529 0:00:23  0,0010  0,1487               0,0014
      2   bfs    3,686155 0:00:07  0,0002  0,0278               0,0003
      4   bfs    4,326963 0:00:08  0,0002  0,0319               0,0003
      6   bfs    4,589333 0:00:08  0,0002  0,0318               0,0003
      8   bfs    4,845721 0:00:08  0,0002  0,0336               0,0003
     10   bfs    5,089287 0:00:08  0,0002  0,0346               0,0003
     12   bfs    7,432008 0:00:11  0,0003  0,0439               0,0004
     14   bfs    8,466805 0:00:12  0,0003  0,0479               0,0004
     16   bfs    9,271080 0:00:13  0,0004  0,0514               0,0005
     18   bfs    9,985388 0:00:13  0,0004  0,0547               0,0005
     20   bfs   11,166454 0:00:14  0,0004  0,0583               0,0005
     22   bfs   13,672316 0:00:17  0,0008  0,1076               0,0010
     24   bfs   13,829763 0:00:17  0,0008  0,1089               0,0010
     26   bfs   14,023680 0:00:17  0,0008  0,1087               0,0010
     28   bfs   14,970077 0:00:18  0,0008  0,1172               0,0011
     30   bfs   15,516407 0:00:19  0,0009  0,1208               0,0011
     32   bfs   16,408726 0:00:20  0,0009  0,1274               0,0012
     34   bfs   17,166245 0:00:21  0,0009  0,1303               0,0012
     36   bfs   18,148211 0:00:22  0,0010  0,1409               0,0013
     38   bfs   18,850321 0:00:22  0,0010  0,1433               0,0013
     40   bfs   20,066761 0:00:23  0,0010  0,1348               0,0013
      2   bfs    3,756296 0:00:07  0,0002  0,0298               0,0003
      4   bfs    4,118730 0:00:07  0,0002  0,0305               0,0003
      6   bfs    4,507085 0:00:08  0,0002  0,0322               0,0003
      8   bfs    4,791490 0:00:08  0,0002  0,0331               0,0003
     10   bfs    4,980693 0:00:08  0,0002  0,0340               0,0003
     12   bfs    7,712525 0:00:11  0,0003  0,0452               0,0004
     14   bfs         NaN 0:00:03  0,0001  0,0138               0,0001
     16   bfs    9,239787 0:00:13  0,0004  0,0511               0,0005
     18   bfs    9,698784 0:00:13  0,0004  0,0535               0,0005
     20   bfs   10,861256 0:00:14  0,0004  0,0579               0,0005
     22   bfs   13,198989 0:00:17  0,0007  0,1027               0,0010
     24   bfs   13,528774 0:00:17  0,0007  0,1057               0,0010
     26   bfs   14,069248 0:00:17  0,0008  0,1103               0,0010
     28   bfs   14,783832 0:00:18  0,0008  0,1155               0,0011
     30   bfs   15,077802 0:00:18  0,0008  0,1178               0,0011
     32   bfs   15,993905 0:00:19  0,0009  0,1246               0,0012
     34   bfs   17,379560 0:00:21  0,0009  0,1339               0,0012
     36   bfs   18,183489 0:00:21  0,0010  0,1377               0,0013
     38   bfs   19,250469 0:00:23  0,0010  0,1461               0,0014
     40   bfs   19,724865 0:00:23  0,0009  0,1315               0,0012
      2   bfs    3,730959 0:00:07  0,0002  0,0293               0,0003
      4   bfs    4,187701 0:00:07  0,0002  0,0305               0,0003
      6   bfs    4,530689 0:00:08  0,0002  0,0322               0,0003
      8   bfs    4,789557 0:00:08  0,0002  0,0332               0,0003
     10   bfs    5,045555 0:00:09  0,0002  0,0350               0,0003
     12   bfs    7,801843 0:00:11  0,0003  0,0450               0,0004
     14   bfs    8,679117 0:00:12  0,0003  0,0479               0,0004
     16   bfs   10,076041 0:00:13  0,0004  0,0543               0,0005
     18   bfs   10,434516 0:00:14  0,0004  0,0551               0,0005
     20   bfs   10,865546 0:00:14  0,0004  0,0572               0,0005
     22   bfs   13,562502 0:00:17  0,0007  0,1061               0,0010
     24   bfs   13,578642 0:00:17  0,0007  0,1051               0,0010
     26   bfs   14,070106 0:00:17  0,0008  0,1102               0,0010
     28   bfs   14,802968 0:00:18  0,0008  0,1152               0,0011
     30   bfs   15,559686 0:00:19  0,0009  0,1209               0,0011
     32   bfs   16,502447 0:00:20  0,0009  0,1263               0,0012
     34   bfs   17,150818 0:00:20  0,0009  0,1321               0,0012
     36   bfs   17,983997 0:00:21  0,0010  0,1383               0,0013
     38   bfs   18,806982 0:00:22  0,0010  0,1439               0,0013
     40   bfs   19,445057 0:00:23  0,0010  0,1486               0,0014
      2   bfs    3,996321 0:00:07  0,0002  0,0300               0,0003
      4   bfs    4,388432 0:00:08  0,0002  0,0311               0,0003
      6   bfs    5,127716 0:00:08  0,0002  0,0339               0,0003
      8   bfs    4,883467 0:00:08  0,0002  0,0318               0,0003
     10   bfs    4,980605 0:00:08  0,0002  0,0339               0,0003
     12   bfs    7,851329 0:00:11  0,0003  0,0434               0,0004
     14   bfs    8,442110 0:00:12  0,0003  0,0453               0,0004
     16   bfs    9,446129 0:00:13  0,0004  0,0520               0,0005
     18   bfs   10,016934 0:00:13  0,0004  0,0544               0,0005
     20   bfs   10,978277 0:00:11  0,0003  0,0429               0,0004
     22   bfs   13,276276 0:00:17  0,0007  0,1032               0,0010
     24   bfs   14,082348 0:00:17  0,0008  0,1099               0,0010
     26   bfs   13,742200 0:00:17  0,0008  0,1085               0,0010
