 Treads   App        Time Time CT  Energy   CO2eq  km travelled by car
      2   bfs   20,226297 0:00:22  0,0011  0,1542               0,0014
      4   bfs    2,573447 0:00:05  0,0003  0,0466               0,0004
      6   bfs    2,815345 0:00:05  0,0003  0,0491               0,0005
      8   bfs    3,281104 0:00:05  0,0004  0,0539               0,0005
     10   bfs    3,518349 0:00:06  0,0004  0,0564               0,0005
     12   bfs    3,935608 0:00:06  0,0004  0,0598               0,0006
     14   bfs    5,391065 0:00:08  0,0005  0,0762               0,0007
     16   bfs    6,035523 0:00:08  0,0006  0,0830               0,0008
     18   bfs    6,633946 0:00:09  0,0006  0,0894               0,0008
     20   bfs    7,219766 0:00:09  0,0007  0,0960               0,0009
     22   bfs    7,656215 0:00:10  0,0007  0,1014               0,0009
     24   bfs    7,903078 0:00:10  0,0007  0,1043               0,0010
     26   bfs    9,874722 0:00:12  0,0008  0,1202               0,0011
     28   bfs   10,323168 0:00:13  0,0009  0,1241               0,0012
     30   bfs   10,357247 0:00:13  0,0009  0,1271               0,0012
     32   bfs   11,199796 0:00:13  0,0009  0,1344               0,0012
     34   bfs   10,642110 0:00:13  0,0009  0,1280               0,0012
     36   bfs   10,911034 0:00:13  0,0009  0,1315               0,0012
     38   bfs   11,376058 0:00:14  0,0010  0,1382               0,0013
     40   bfs   12,089953 0:00:14  0,0011  0,1577               0,0015
     42   bfs   12,181894 0:00:14  0,0012  0,1754               0,0016
     44   bfs   12,972988 0:00:15  0,0013  0,1880               0,0017
     46   bfs   13,647171 0:00:16  0,0014  0,1969               0,0018
     48   bfs   13,747852 0:00:16  0,0014  0,2005               0,0019
      2   bfs    2,202759 0:00:04  0,0003  0,0427               0,0004
      4   bfs    2,553919 0:00:05  0,0003  0,0475               0,0004
      6   bfs    2,853483 0:00:05  0,0003  0,0494               0,0005
      8   bfs    3,228330 0:00:05  0,0004  0,0548               0,0005
     10   bfs    3,397011 0:00:06  0,0004  0,0568               0,0005
     12   bfs    3,766164 0:00:06  0,0004  0,0626               0,0006
