Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,bfs,1.896915,0:00:04,0.0003,0.0406,0.0004
4,bfs,2.849061,0:00:05,0.0004,0.0497,0.0005
6,bfs,3.286104,0:00:06,0.0004,0.0544,0.0005
8,bfs,3.448262,0:00:06,0.0004,0.0573,0.0005
10,bfs,3.821596,0:00:06,0.0004,0.0600,0.0006
12,bfs,4.168482,0:00:07,0.0005,0.0653,0.0006
14,bfs,4.286364,0:00:07,0.0005,0.0644,0.0006
16,bfs,4.458156,0:00:07,0.0005,0.0667,0.0006
18,bfs,4.468744,0:00:07,0.0005,0.0672,0.0006
20,bfs,5.162435,0:00:08,0.0005,0.0734,0.0007
22,bfs,5.273225,0:00:08,0.0005,0.0743,0.0007
24,bfs,5.578643,0:00:08,0.0006,0.0781,0.0007
26,bfs,7.064999,0:00:09,0.0007,0.0924,0.0009
28,bfs,7.897968,0:00:10,0.0007,0.0992,0.0009
30,bfs,8.680964,0:00:11,0.0008,0.1092,0.0010
32,bfs,9.811584,0:00:12,0.0008,0.1188,0.0011
34,bfs,10.251655,0:00:13,0.0009,0.1232,0.0011
36,bfs,10.400810,0:00:13,0.0009,0.1251,0.0012
38,bfs,11.428740,0:00:14,0.0010,0.1352,0.0013
40,bfs,11.896419,0:00:14,0.0010,0.1464,0.0014
42,bfs,11.794840,0:00:14,0.0011,0.1610,0.0015
44,bfs,12.991070,0:00:15,0.0013,0.1857,0.0017
46,bfs,13.322380,0:00:16,0.0014,0.1916,0.0018
48,bfs,14.534481,0:00:17,0.0014,0.2032,0.0019
