Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,cutcp,39.777905,0:00:40,0.0028,0.3942,0.0037
4,cutcp,20.174883,0:00:20,0.0015,0.2124,0.0020
6,cutcp,14.156892,0:00:14,0.0011,0.1557,0.0014
8,cutcp,10.693945,0:00:11,0.0009,0.1241,0.0012
10,cutcp,8.652377,0:00:09,0.0007,0.1026,0.0010
12,cutcp,7.469283,0:00:08,0.0007,0.0952,0.0009
14,cutcp,6.277817,0:00:06,0.0006,0.0811,0.0008
16,cutcp,5.624991,0:00:06,0.0005,0.0755,0.0007
18,cutcp,5.044029,0:00:05,0.0005,0.0709,0.0007
20,cutcp,4.611998,0:00:05,0.0005,0.0641,0.0006
22,cutcp,4.264942,0:00:04,0.0004,0.0597,0.0006
24,cutcp,4.073639,0:00:04,0.0004,0.0570,0.0005
26,cutcp,3.884806,0:00:04,0.0004,0.0568,0.0005
28,cutcp,3.548364,0:00:04,0.0004,0.0541,0.0005
30,cutcp,3.416943,0:00:03,0.0004,0.0543,0.0005
32,cutcp,3.273718,0:00:04,0.0004,0.0541,0.0005
34,cutcp,3.012206,0:00:03,0.0004,0.0514,0.0005
36,cutcp,2.908139,0:00:03,0.0004,0.0503,0.0005
38,cutcp,2.870956,0:00:03,0.0004,0.0514,0.0005
40,cutcp,2.622380,0:00:03,0.0003,0.0484,0.0005
42,cutcp,2.572631,0:00:03,0.0003,0.0472,0.0004
44,cutcp,2.443094,0:00:03,0.0003,0.0465,0.0004
46,cutcp,2.336470,0:00:02,0.0003,0.0448,0.0004
48,cutcp,2.378849,0:00:02,0.0003,0.0461,0.0004
