Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,histo,181.838394,0:03:02,0.0123,1.7427,0.0162
4,histo,980.725769,0:16:21,0.0672,9.5270,0.0886
6,histo,1238.391479,0:20:39,0.0871,12.3480,0.1149
8,histo,1324.397461,0:22:05,0.0950,13.4643,0.1252
10,histo,1447.706543,0:24:08,0.1053,14.9302,0.1389
12,histo,1590.743042,0:26:31,0.1180,16.7349,0.1557
14,histo,1727.698853,0:28:48,0.1289,18.2775,0.1700
16,histo,1942.948853,0:32:23,0.1488,21.0906,0.1962
18,histo,1972.780884,0:32:53,0.1537,21.7895,0.2027
20,histo,2246.430420,0:37:27,0.1767,25.0468,0.2330
22,histo,2161.941406,0:36:02,0.1726,24.4765,0.2277
24,histo,2053.161377,0:34:14,0.1621,22.9762,0.2137
26,histo,2570.800781,0:42:51,0.2077,29.4532,0.2740
28,histo,2690.725342,0:44:51,0.2201,31.2081,0.2903
30,histo,3179.739990,0:53:00,0.2662,37.7425,0.3511
32,histo,3210.294189,0:53:31,0.2710,38.4203,0.3574
34,histo,3533.099121,0:58:54,0.3029,42.9416,0.3995
36,histo,3463.450195,0:57:44,0.3000,42.5385,0.3957
38,histo,3478.193848,0:57:59,0.3076,43.6115,0.4057
40,histo,3703.646729,1:01:44,0.3329,47.1926,0.4390
42,histo,3146.884766,0:52:27,0.2831,40.1336,0.3733
44,histo,3599.671875,1:00:00,0.3300,46.7883,0.4352
46,histo,3562.275146,0:59:23,0.3268,46.3262,0.4309
48,histo,3720.337158,1:02:01,0.3457,49.0072,0.4559
