Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,hotspot,74.744,0:01:18,0.0028,0.2756,0.0026
4,hotspot,39.365,0:00:41,0.0016,0.1554,0.0014
6,hotspot,26.712,0:00:28,0.0012,0.1163,0.0011
8,hotspot,21.534,0:00:23,0.0010,0.0992,0.0009
10,hotspot,17.092,0:00:18,0.0009,0.0843,0.0008
12,hotspot,14.948,0:00:16,0.0008,0.0763,0.0007
14,hotspot,12.884,0:00:14,0.0007,0.0674,0.0006
16,hotspot,11.576,0:00:13,0.0006,0.0604,0.0006
18,hotspot,10.653,0:00:12,0.0006,0.0545,0.0005
20,hotspot,9.880,0:00:11,0.0005,0.0514,0.0005
22,hotspot,9.158,0:00:11,0.0005,0.0505,0.0005
24,hotspot,8.912,0:00:10,0.0005,0.0480,0.0004
26,hotspot,8.253,0:00:09,0.0005,0.0454,0.0004
28,hotspot,7.911,0:00:09,0.0005,0.0459,0.0004
30,hotspot,7.537,0:00:10,0.0005,0.0465,0.0004
32,hotspot,7.117,0:00:09,0.0005,0.0470,0.0004
34,hotspot,6.920,0:00:08,0.0005,0.0469,0.0004
36,hotspot,6.716,0:00:08,0.0005,0.0480,0.0004
38,hotspot,6.527,0:00:08,0.0005,0.0447,0.0004
40,hotspot,6.382,0:00:08,0.0005,0.0463,0.0004
42,hotspot,6.263,0:00:08,0.0005,0.0468,0.0004
44,hotspot,6.205,0:00:08,0.0005,0.0464,0.0004
46,hotspot,6.136,0:00:08,0.0005,0.0458,0.0004
48,hotspot,6.048,0:00:07,0.0004,0.0429,0.0004
