Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,lbm,521.506592,0:08:44,0.0368,5.2117,0.0485
4,lbm,279.721863,0:04:43,0.0211,2.9887,0.0278
6,lbm,197.062332,0:03:20,0.0157,2.2275,0.0207
8,lbm,178.661606,0:03:02,0.0150,2.1336,0.0198
10,lbm,184.374741,0:03:08,0.0158,2.2382,0.0208
12,lbm,187.586121,0:03:11,0.0159,7.5364,0.0701
14,lbm,187.772110,0:03:10,0.0162,2.2917,0.0213
16,lbm,189.691971,0:03:12,0.0168,2.3786,0.0221
18,lbm,191.355606,0:03:15,0.0171,2.4220,0.0225
20,lbm,190.483322,0:03:14,0.0170,2.4111,0.0224
22,lbm,192.192139,0:03:16,0.0174,2.4656,0.0229
24,lbm,191.777985,0:03:15,0.0173,2.4475,0.0228
26,lbm,178.256577,0:03:02,0.0163,2.3075,0.0215
28,lbm,165.961365,0:02:49,0.0151,2.1444,0.0199
30,lbm,156.839767,0:02:40,0.0148,2.0966,0.0195
32,lbm,146.889236,0:02:30,0.0142,2.0066,0.0187
34,lbm,136.770905,0:02:20,0.0136,1.9244,0.0179
36,lbm,128.773270,0:02:12,0.0129,1.8320,0.0170
38,lbm,123.103065,0:02:07,0.0127,1.8069,0.0168
40,lbm,115.398491,0:01:59,0.0123,1.7495,0.0163
42,lbm,109.759117,0:01:53,0.0116,1.6431,0.0153
44,lbm,106.580933,0:01:50,0.0119,1.6849,0.0157
46,lbm,99.224403,0:01:43,0.0110,1.5619,0.0145
48,lbm,97.579071,0:01:41,0.0110,1.5615,0.0145
