Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,lud,130992.103,0:02:11,0.0047,0.4586,0.0043
4,lud,66421.914,0:01:07,0.0026,0.2545,0.0024
6,lud,45248.518,0:00:46,0.0019,0.1871,0.0017
8,lud,39820.602,0:00:40,0.0017,0.1702,0.0016
10,lud,39575.068,0:00:40,0.0017,0.1714,0.0016
12,lud,39436.936,0:00:40,0.0018,0.1727,0.0016
14,lud,39305.452,0:00:40,0.0018,0.1747,0.0016
16,lud,39098.423,0:00:39,0.0018,0.1769,0.0016
18,lud,39000.517,0:00:39,0.0018,0.1786,0.0017
20,lud,38905.345,0:00:39,0.0018,0.1783,0.0017
22,lud,38832.417,0:00:39,0.0018,0.1804,0.0017
24,lud,38734.181,0:00:39,0.0018,0.1786,0.0017
26,lud,35662.377,0:00:36,0.0017,0.1685,0.0016
28,lud,32682.030,0:00:33,0.0016,0.1584,0.0015
30,lud,30677.599,0:00:31,0.0015,0.1524,0.0014
32,lud,28936.514,0:00:29,0.0015,0.1477,0.0014
34,lud,27758.737,0:00:28,0.0015,0.1458,0.0014
36,lud,27344.429,0:00:28,0.0015,0.1460,0.0014
38,lud,27267.770,0:00:28,0.0015,0.1484,0.0014
40,lud,28755.737,0:00:29,0.0016,0.1579,0.0015
42,lud,29249.356,0:00:30,0.0016,0.1615,0.0015
44,lud,29071.966,0:00:29,0.0016,0.1617,0.0015
46,lud,29700.494,0:00:30,0.0017,0.1655,0.0015
48,lud,30909.354,0:00:31,0.0018,0.1731,0.0016
