"DataFrame","Threads","time_seconds.Media","time_seconds.SD","CO2eq.Media","CO2eq.SD"
"out_bt.C.x",80,32.19200000, 0.14093340,1.787390000,0.007883238
"out_cg.C.x",88, 9.04200000, 0.13423032,0.431030000,0.104600840
"out_ft.C.x",42, 7.96400000, 0.02756810,0.384660000,0.091983528
"out_mg.C.x",42,21.18300000, 0.15656380,0.856260000,0.295460199
"out_sp.C.x",10,86.33600000, 0.52447222,1.970560000,0.680544797
"out_ua.C.x",88,25.22100000, 0.26036086,1.032610000,0.443686890
"PO",14, 0.64018400, 0.02871879,0.000000000,0.000000000
"ST",10, 0.70028800, 0.02458860,0.000000000,0.000000000
"FFT", 6,33.09122082, 0.43738124,0.438727273,0.207805871
"HPCG",16,10.59473900, 0.18538044,0.160190000,0.055282415
"JA",14,17.57668100, 0.44070038,0.434930000,0.148615545
"LULESH",16,31.74900000, 0.49248689,0.852700000,0.202630348
