"out_bt.C.x.Threads","out_bt.C.x.time_seconds.Media","out_bt.C.x.time_seconds.SD","out_bt.C.x.CO2eq.Media","out_bt.C.x.CO2eq.SD","out_cg.C.x.Threads","out_cg.C.x.time_seconds.Media","out_cg.C.x.time_seconds.SD","out_cg.C.x.CO2eq.Media","out_cg.C.x.CO2eq.SD","out_ft.C.x.Threads","out_ft.C.x.time_seconds.Media","out_ft.C.x.time_seconds.SD","out_ft.C.x.CO2eq.Media","out_ft.C.x.CO2eq.SD","out_mg.C.x.Threads","out_mg.C.x.time_seconds.Media","out_mg.C.x.time_seconds.SD","out_mg.C.x.CO2eq.Media","out_mg.C.x.CO2eq.SD","out_sp.C.x.Threads","out_sp.C.x.time_seconds.Media","out_sp.C.x.time_seconds.SD","out_sp.C.x.CO2eq.Media","out_sp.C.x.CO2eq.SD","out_ua.C.x.Threads","out_ua.C.x.time_seconds.Media","out_ua.C.x.time_seconds.SD","out_ua.C.x.CO2eq.Media","out_ua.C.x.CO2eq.SD","PO.Threads","PO.time_seconds.Media","PO.time_seconds.SD","PO.CO2eq.Media","PO.CO2eq.SD","ST.Threads","ST.time_seconds.Media","ST.time_seconds.SD","ST.CO2eq.Media","ST.CO2eq.SD","FFT.Threads","FFT.time_seconds.Media","FFT.time_seconds.SD","FFT.CO2eq.Media","FFT.CO2eq.SD","HPCG.Threads","HPCG.time_seconds.Media","HPCG.time_seconds.SD","HPCG.CO2eq.Media","HPCG.CO2eq.SD","JA.Threads","JA.time_seconds.Media","JA.time_seconds.SD","JA.CO2eq.Media","JA.CO2eq.SD","LULESH.Threads","LULESH.time_seconds.Media","LULESH.time_seconds.SD","LULESH.CO2eq.Media","LULESH.CO2eq.SD"
2,446.809,10.3381692447615,8.47019,0.188541539484303,2,160.592,0.785349179240251,3.11653,0.0135304635709366,2,90.483,0.630609053041405,1.78922,0.428636595109035,2,94.782,2.14752984716033,1.82529,0.433642298700464,2,249.531,1.678150105854,4.22214,1.45275812562021,2,250.511,2.59032580533372,4.10334,1.41524364781004,2,3.240815,0.0443812886623781,0.06206,0.014889832474246,2,2.739984,0.0602649821298498,0.04951,0.0116223396000021,2,47.4999126363636,0.299740563063884,0.700172727272727,0.337305232959434,2,37.010914,2.02404465427904,0.619,0.21174356083611,2,62.270609,0.710375603598391,1.0785,0.371980569982418,2,107.999,2.35500153338002,1.94228,0.456812662307476
4,249.212,1.14930703759556,5.24835,0.0196317911109053,4,99.151,12.645909703229,1.92987,0.528454646535012,4,48.97,0.306992580438755,1.07335,0.255851824521755,4,58.605,0.378454459318129,1.23487,0.294747040509127,4,145.701,0.786969574450697,2.75774,0.947470540380485,4,143.479,0.653749017420123,2.59699,0.894155762530593,4,1.764343,0.0572203033216552,0.0377,0.00903696114115064,4,1.458069,0.0273228693181697,0.03,0.00725580227588009,4,35.5942662727273,0.193467608423266,0.497654545454545,0.23601086993457,4,21.329633,0.945837160016341,0.37479,0.128745342526331,4,33.737456,0.511595482805181,0.66042,0.225431486512224,4,64.742,1.782861619856,1.31361,0.31747344053392
6,179.722,1.22096318990833,4.07241,0.0256281724323491,6,57.676,0.922571286014137,1.23732,0.29598315567688,6,35.028,0.186535668319911,0.83086,0.198145604151201,6,47.369,0.327802447282573,1.07865,0.258266392402195,6,111.379,0.308056632600063,2.28542,0.787831737252456,6,108.968,0.306260600723562,2.11401,0.725735789771702,6,1.280953,0.113404328846438,0.02978,0.00734042081748572,6,1.049013,0.0193861669181347,0.02346,0.00559765824053039,6,33.0912208181818,0.437381237935926,0.438727272727273,0.207805871384372,6,16.169275,0.533394800525631,0.30086,0.102730404457493,6,24.566396,0.985261041486525,0.52459,0.182956214859063,6,49.356,1.04967931610881,1.06718,0.250668146272229
8,144.064,0.935381086925414,3.42636,0.021905920052199,8,45.08,0.693894004073308,1.01923,0.243465361670471,8,28.108,0.125857061780418,0.6945,0.165705837086219,8,43.329,0.233545141960464,0.94645,0.324125597227028,8,92.756,0.469992907747908,2.0155,0.694798944539594,8,92.665,0.669099726830346,1.88146,0.647347677836261,8,1.041439,0.0272846527679329,0.02554,0.00618963290959614,8,0.837269,0.0178407887531166,0.01552,0.0068372834111542,8,31.4423850909091,0.676140397243421,0.439927272727273,0.206646442461075,8,13.585166,0.404918221570726,0.26659,0.0927576944996419,8,20.217118,0.482547974490045,0.44596,0.151680806666866,8,41.88,0.75916620929368,0.95926,0.226248035964465
10,121.229,0.668621301219489,3.04041,0.0247182096618846,10,36.764,0.562439132509268,0.87652,0.207920742378222,10,23.826,0.0969765149118305,0.62091,0.148424522157822,10,41.396,0.288836747431255,0.94484,0.324447455769891,10,86.336,0.524472221486623,1.97056,0.680544796794777,10,81.611,0.349140213795102,1.73804,0.597051998852138,10,0.893858,0.027386100610833,0.02095,0.00502598801784839,10,0.700288,0.0245885961824221,0,0,10,30.9632875454545,0.702932132752283,0.448081818181818,0.213377842421287,10,12.072669,0.394666322309816,0.22773,0.0894617615396532,10,19.043734,0.715447644504241,0.43844,0.150144746457839,10,36.629,0.665072260067363,0.88805,0.213730283041241
12,108.268,0.594956581048849,2.87561,0.0156088614432814,12,31.469,0.425113056857951,0.79467,0.189374649541297,12,20.694,0.0544058820349416,0.55836,0.13340788915536,12,40.481,0.2663518975591,0.96746,0.332705729837445,12,87.758,0.76842985655455,2.08876,0.718479328087377,12,73.784,0.257345422859368,1.66496,0.572463427652807,12,0.746379,0.0360011683298072,0.00203,0.00641942365014181,12,0.601623,0.014928825249608,0,0,12,30.7549949090909,0.564849001524028,0.476072727272727,0.232402827396351,12,11.085123,0.214270729325205,0.16756,0.0582995749936862,12,18.28592,0.923360158876264,0.43512,0.148234497409416,12,34.348,0.433789503484504,0.86972,0.20829625696749
14,95.568,0.481866740453785,2.69446,0.0156291892161927,14,27.505,0.303104309144925,0.74088,0.179053224861585,14,18.487,0.0507827617296348,0.53824,0.128337525472655,14,40.092,0.251166168988669,0.99856,0.344489445734151,14,91.21,0.569034269618268,2.26098,0.776621882542878,14,68.073,0.278769119922245,1.62191,0.559263568255414,14,0.640184,0.0287187941560536,0,0,14,0.549347,0.025281531269552,0,0,14,30.4941669090909,0.21690345845166,0.470127272727273,0.222887043548561,14,10.987734,0.325636555694296,0.16602,0.0575323638388767,14,17.576681,0.440700378373889,0.43493,0.148615544648301,14,32.829,0.54243176734242,0.85908,0.208305383725167
16,83.253,0.766565935411517,2.51715,0.0203354780289687,16,24.469,0.407906579718663,0.69577,0.166165172510835,16,16.764,0.0368781778291711,0.51994,0.125012392274615,16,39.641,0.230672928624059,1.02761,0.354380681847454,16,97.591,0.625467824911881,2.50587,0.859246203301992,16,63.995,0.199958328992152,1.59761,0.54988816125544,16,0.5589,0.0395262562524372,0,0,16,0.497709,0.0128434898770631,0,0,16,30.8962152,0.650618475399591,0.49418,0.209995051793555,16,10.594739,0.185380438345342,0.16019,0.0552824153275202,16,17.71764,1.11444810670274,0.44514,0.150102677450397,16,31.749,0.492486886458242,0.8527,0.202630347622901
18,76.706,0.412693052468244,2.41963,0.0284390596031429,18,22.251,0.302377615279674,0.66554,0.160581002058843,18,15.831,0.0381371792932363,0.51684,0.123159726462112,18,39.339,0.332179670258934,1.05337,0.362523363385038,18,104.39,1.14252157771989,2.76175,0.949604326080663,18,60.355,0.2557016490626,1.57414,0.535118440056861,18,0.53295,0.0483682280933351,0.00099,0.0031306548835667,18,0.502725,0.0274936021850741,0,0,18,30.7128872,0.559060576097439,0.48965,0.21099768956081,18,10.712311,0.419023373345688,0.16133,0.0551390978445523,18,17.721983,0.504700378883903,0.46042,0.160201517540322,18,31.259,0.505952347338934,0.86488,0.20736386056077
20,71.264,0.309235616749859,2.36685,0.0110849497568149,20,20.743,0.574998550722812,0.63617,0.152295998707196,20,14.937,0.0408384350554449,0.51485,0.123795245376298,20,39.221,0.255405994883093,1.08546,0.372982165793487,20,110.81,0.70251927612937,3.02258,1.03673591494331,20,58.043,0.247523287344399,1.57544,0.543262909955514,20,0.532952,0.0229801657473957,0,0,20,0.545955,0.0115427738337792,0,0,20,30.7049538,0.610122224095905,0.49798,0.20916524461668,20,10.682884,0.192749718501019,0.16147,0.0558056160057192,20,17.859108,0.719527906551696,0.47469,0.162541737887705,20,29.991,0.626674645339279,0.8574,0.20325540583217
22,70.085,0.539469904422644,2.38121,0.0126881791005995,22,19.275,0.263449341535627,0.61806,0.149964130526084,22,14.723,0.0577446486217075,0.51418,0.12259261170415,22,39.259,0.235629181365788,1.12424,0.387693840262878,22,115.539,0.787675200969422,3.20552,1.09973051830387,22,55.806,0.269493351804208,1.57179,0.540334566007231,22,0.528986,0.0293941238269753,0,0,22,0.564814,0.0177336805730414,0,0,22,30.784664,0.558374515797617,0.50795,0.220856158568825,22,10.709823,0.234183188838235,0.16188,0.0556768214290691,22,17.864069,0.768831363180509,0.48978,0.170125834474237,22,30,0.568545903550843,0.88905,0.213325365736629
