"DataFrame","Threads","time_seconds.Media","time_seconds.SD","CO2eq.Media","CO2eq.SD"
"out_bt.C.x",20, 64.37900000,  0.84341172,2.11445000,0.72515153
"out_cg.C.x",40, 16.72000000,  0.20226495,0.53699000,0.18445069
"out_ft.C.x",32, 15.14800000,  0.05788878,0.42474000,0.19693373
"out_mg.C.x",20, 23.72100000,  0.13803784,0.73710000,0.31637235
"out_sp.C.x", 6,142.31500000,  0.89160592,2.27190000,0.97563069
"out_ua.C.x",20, 47.81700000,  0.21669487,1.40775000,0.60538506
"PO",16,  0.61463900,  0.03323220,0.00000000,0.00000000
"ST",10,  0.68322500,  0.01108421,0.00000000,0.00000000
"FFT",10, 33.65412660,  0.29309650,0.43580000,0.18294153
"HPCG",36, 11.63664400,  0.34368091,0.15668000,0.07011837
"JA",10, 20.06018400,  0.88800032,0.44839000,0.15794395
"LULESH",14, 39.30000000,  0.55011110,0.96153000,0.33263662
