"out_bt.C.x.Threads","out_bt.C.x.time_seconds.Media","out_bt.C.x.time_seconds.SD","out_bt.C.x.CO2eq.Media","out_bt.C.x.CO2eq.SD","out_cg.C.x.Threads","out_cg.C.x.time_seconds.Media","out_cg.C.x.time_seconds.SD","out_cg.C.x.CO2eq.Media","out_cg.C.x.CO2eq.SD","out_ft.C.x.Threads","out_ft.C.x.time_seconds.Media","out_ft.C.x.time_seconds.SD","out_ft.C.x.CO2eq.Media","out_ft.C.x.CO2eq.SD","out_mg.C.x.Threads","out_mg.C.x.time_seconds.Media","out_mg.C.x.time_seconds.SD","out_mg.C.x.CO2eq.Media","out_mg.C.x.CO2eq.SD","out_sp.C.x.Threads","out_sp.C.x.time_seconds.Media","out_sp.C.x.time_seconds.SD","out_sp.C.x.CO2eq.Media","out_sp.C.x.CO2eq.SD","out_ua.C.x.Threads","out_ua.C.x.time_seconds.Media","out_ua.C.x.time_seconds.SD","out_ua.C.x.CO2eq.Media","out_ua.C.x.CO2eq.SD","PO.Threads","PO.time_seconds.Media","PO.time_seconds.SD","PO.CO2eq.Media","PO.CO2eq.SD","ST.Threads","ST.time_seconds.Media","ST.time_seconds.SD","ST.CO2eq.Media","ST.CO2eq.SD","FFT.Threads","FFT.time_seconds.Media","FFT.time_seconds.SD","FFT.CO2eq.Media","FFT.CO2eq.SD","HPCG.Threads","HPCG.time_seconds.Media","HPCG.time_seconds.SD","HPCG.CO2eq.Media","HPCG.CO2eq.SD","JA.Threads","JA.time_seconds.Media","JA.time_seconds.SD","JA.CO2eq.Media","JA.CO2eq.SD","LULESH.Threads","LULESH.time_seconds.Media","LULESH.time_seconds.SD","LULESH.CO2eq.Media","LULESH.CO2eq.SD"
2,340.327,0.285230900616794,10.23665,3.51761352189868,2,56.687,0.253686157814467,1.76621,0.759881821879049,2,57.703,0.406504065853659,1.97892,0.681500884160183,2,121.009,1.27312781936632,3.89004,1.33851692738228,2,252.202,0.497366397471048,7.74483,2.66802430525744,2,254.146,0.391441779408719,7.61922,2.62493412649621,2,2.44702,0.141226815599745,0.07061,0.0305693910090906,2,4.857361,0.555876454967988,0.14742,0.0545472435396857,2,57.932929,0.112623679659296,1.48013636363636,0.711893715764829,2,35.383361,5.01598163577723,0.97985,0.435657156871471,2,90.941388,0.213622199626662,2.52049,1.08144210247243,2,91.128,1.00496323868643,2.52018,1.08009768879177
4,203.32,0.16766368453279,6.6836,2.29886671306634,4,43.645,0.0371931893407027,1.40063,0.600064385526901,4,37.29,0.269979423084221,1.3571,0.468888283306613,4,125.529,0.516364427727377,4.14228,1.42294288930449,4,224.724,3.9923738413241,7.29906,2.52799070418474,4,184.306,0.244276710128315,5.89964,2.02873503181991,4,1.219609,0.0867036533191589,0.0382,0.0165338037567484,4,1.686524,0.237380594180176,0.05837,0.0228387122618106,4,55.4567514,0.782759833967283,1.54873,0.672835073154385,4,33.196746,2.18304361386269,0.95292,0.41383017128608,4,61.388613,6.64491352152582,1.80874,0.79963210735382,4,53.807,0.833587294635529,1.59685,0.680570765771071
6,161.997,0.184634774622767,5.65862,1.94708741046723,6,42.007,0.0609280085200742,1.39112,0.596940203221581,6,31.748,0.312296155738249,1.20071,0.413627504055413,6,127.504,0.595654635207724,4.35466,1.49762118055416,6,255.733,2.19829757362879,8.55898,2.9474679271839,6,162.874,0.296318147342422,5.47862,1.88557066386928,6,0.822628,0.0276609001219331,0.01834,0.0174763459186029,6,1.054455,0.205239867215033,0.03796,0.0132684420922562,6,53.804371,1.8752742282048,1.55145,0.663642810972556,6,27.03181,1.88841640480412,0.81448,0.36375507877325,6,47.014705,3.77977375127504,1.48882,0.663313061331777,6,45.403,1.45881268312434,1.43566,0.620617803661982
8,140.31,0.125786415094083,5.13299,1.76770920148083,8,41.801,0.0629726572057723,1.41443,0.607097197142087,8,30.556,0.268253611345682,1.16904,0.403376653871898,8,127.561,0.467723802639501,4.48878,1.54131079049259,8,297.134,1.81211478665123,10.22378,3.53178284685417,8,154.586,0.406070601414746,5.38473,1.8472428042596,8,0.653641,0.0339212219545359,0.00076,0.00240333102172797,8,0.944629,0.19112440192189,0.01793,0.0227297186764621,8,54.8767793,1.82365366199494,1.60336,0.670075583133061,8,25.366947,0.691150437829727,0.79062,0.342866973880218,8,45.273284,1.46924520334006,1.47825,0.625673028293,8,43.355,1.15127224311966,1.44266,0.621589672086373
10,127.741,0.172977198240437,4.48411,1.92667694890567,10,42.198,0.0413118223595469,1.47043,0.630206800361772,10,30.483,0.123562849504929,1.20202,0.413993627970287,10,125.421,0.444283443060597,4.53863,1.55841859378167,10,325.728,0.558287062759332,11.49358,3.94693610758185,10,149.898,0.551055552755094,5.3676,1.84539663848543,10,0.619745,0.116576101348242,0.0054,0.0117230068194508,10,0.781226,0.148472661845727,0.01526,0.0194851054226897,10,53.8018856,2.6797726337434,1.61661,0.685711413950666,10,25.241896,0.699175652722547,0.80466,0.344374138272767,10,44.412403,0.300933377974078,1.50399,0.64247877690845,10,43.183,1.66403826077808,1.4885,0.629735547670608
12,123.014,0.0953589709116728,4.37586,1.87714285030321,12,42.548,0.0458984386081561,1.51444,0.650569361235047,12,30.608,0.149651446887612,1.21932,0.420064148011282,12,123.183,0.502771209287969,4.5215,1.55605267977091,12,343.359,0.972367671659696,12.30005,4.23544595166134,12,147.713,0.441211715367774,5.38471,1.85052815130648,12,0.517578,0.0541685072097555,0,0,12,0.608474,0.0979043609515599,0.00272,0.00860139523565799,12,53.4264661,2.70327470909921,1.65116,0.718378861975583,12,25.815081,0.564767553019234,0.84251,0.364785853313664,12,44.267529,0.549544553819088,1.54632,0.660787375114803,12,44.134,0.87347581534923,1.57771,0.675718311543764
14,109.547,1.19944477896141,4.01581,1.73629908742705,14,37.144,0.112664694262814,1.36876,0.586708529188235,14,26.507,0.872519340759848,1.07786,0.366697575060915,14,106.419,0.464122828570197,3.98018,1.36679714889307,14,301.818,5.33717944652832,11.05419,3.82649857686865,14,124.367,1.50417973216855,4.70761,1.62383042385726,14,0.493337,0.0420699990888202,0,0,14,0.464327,0.057701554003722,0,0,14,52.7311014,2.40108717198408,1.66631,0.725483611040862,14,25.716707,0.687386945840712,0.85568,0.367775371660474,14,44.391788,0.749222574729596,1.60042,0.68172034637868,14,45.376,1.06316299576102,1.67219,0.722170528414938
16,96.677,1.82345855755241,3.65805,1.55262311964838,16,32.64,0.144529889257858,1.24797,0.536297776012129,16,23.646,0.376775795400926,0.99391,0.372862040170356,16,92.86,0.336848135910926,3.54673,1.2221419621577,16,268.127,6.77016994698885,10.04451,3.43662525013841,16,107.365,1.92926151674676,4.26968,1.47328800367673,16,0.42627,0.0257946708535783,0,0,16,0.303747,0.0384313121902787,0,0,16,52.4599878,1.56279695592001,1.65591,0.704417310737511,16,25.711394,0.587020143250827,0.86827,0.369837387840176,16,43.81457,0.667983540382713,1.60487,0.710567660473731,16,46.978,0.89476005473845,1.77973,0.762386246596828
18,87.566,2.58913627811799,3.51709,1.51232108984097,18,29.494,0.181610082931048,1.1752,0.502526461437052,18,21.776,0.442748988329354,0.95564,0.331667226800197,18,83.389,0.361891635100282,3.3427,1.1491688610083,18,250.315,16.0043002901651,9.70824,3.44399893766921,18,95.438,1.61205045413184,3.98681,1.37313801802862,18,0.445343,0.0446698247764143,0,0,18,0.181723,0.00369222320861323,0,0,18,52.7664513,1.28613480857206,1.65006,0.718648740036157,18,26.108639,0.450888796821221,0.88995,0.378680161878068,18,43.421459,1.05964474580923,1.65734,0.721458422918466,18,50.518,1.21146192676452,1.96208,0.843729662866015
20,76.999,1.78576127557222,3.226,1.37676782598471,20,26.542,0.220695869165389,1.10543,0.472652830192403,20,19.974,0.411560715110447,0.8919,0.308343452086216,20,75.455,0.160502682566714,3.1667,1.09011745748388,20,214.95,6.53007061387717,8.69294,3.02166146173481,20,84.343,2.26548523132095,3.62954,1.26637765843281,20,0.436471,0.0556492470648875,0,0,20,0.151145,0.00254236657029976,0,0,20,52.1395494,2.20332185007679,1.71819,0.749184673050199,20,26.267309,0.370477772146244,0.91016,0.389590586242646,20,42.936491,1.19428780508115,1.66488,0.719302641915534,20,52.577,1.24900894045372,2.09065,0.913461608084568
22,73.956,1.81389207078162,3.21813,1.3905479727631,22,24.002,0.459100569955356,1.03464,0.469748469810056,22,17.676,0.506298111568449,0.83626,0.289227381522259,22,68.847,0.207527775918738,3.01559,1.03620506813189,22,199.932,6.93261823235317,8.43488,2.82725474849524,22,76.477,1.61873784851724,3.46111,1.19534176651608,22,0.447556,0.0538981098823409,0,0,22,0.147306,0.00169108249355257,0,0,22,52.4737812,2.0048166929467,1.75836,0.75577664278395,22,25.884739,0.895637763340243,0.90782,0.395858063227494,22,42.189186,0.829019369753606,1.64436,0.702388647086181,22,55.44,2.04189998666819,2.23302,0.967887238381735
24,67.67,1.44215887551345,3.04514,1.30208862405325,24,22.19,0.253464878128005,1.00216,0.429863082077693,24,16.194,0.179270125168076,0.80051,0.276541620134595,24,63.446,0.31231038691945,2.89778,0.999179390855872,24,189.094,2.89432855387528,8.37552,2.90755832034754,24,72.679,0.553663556081972,3.36469,1.15916549527858,24,0.398879,0.0204943246615577,0,0,24,0.139908,0.00153775305053979,0,0,24,52.6873951,2.07259938412235,1.75298,0.745282174451768,24,26.334393,0.575643842532477,0.9334,0.404782759294689,24,41.594843,0.436638169758439,1.65489,0.711399113562688,24,55.435,1.3811207204457,2.27588,0.975298060196073
