"DataFrame","Threads","time_seconds.Media","time_seconds.SD","CO2eq.Media","CO2eq.SD"
"out_bt.C.x", 8,156.83600000,  0.92880090,1.037740000,0.700827242
"out_cg.C.x",16, 40.67000000,  0.55547777,0.275320000,0.190073756
"out_ft.C.x",16, 27.52200000,  0.20433089,0.209020000,0.142095061
"out_mg.C.x", 4, 70.40400000,  0.70356552,0.439590000,0.299655285
"out_sp.C.x", 6,143.35200000,  0.34282487,1.253950000,0.791406164
"out_ua.C.x",16,106.45200000,  0.98593216,0.932840000,0.586090699
"PO", 8,  1.20307700,  0.04557422,0.008220000,0.005785192
"ST", 8,  1.87840500,  0.08731576,0.012640000,0.008438957
"FFT", 6, 41.13021320,  0.07413891,0.244420000,0.157406451
"HPCG", 7, 17.16727900,  0.04170306,0.116730000,0.075939801
"JA", 7, 31.85644800,  0.11358512,0.243830000,0.166526388
"LULESH", 8, 49.45600000,  0.86615626,0.314720000,0.218472586
