Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,PO,117291.410,0:01:57,0.0016,0.1581,0.0015
4,PO,64937.488,0:01:05,0.0011,0.1048,0.0010
6,PO,46838.545,0:00:47,0.0009,0.0843,0.0008
8,PO,39409.825,0:00:39,0.0008,0.0763,0.0007
10,PO,35842.066,0:00:36,0.0007,0.0726,0.0007
12,PO,34643.878,0:00:35,0.0007,0.0720,0.0007
14,PO,33978.466,0:00:34,0.0007,0.0725,0.0007
16,PO,33295.744,0:00:33,0.0007,0.0723,0.0007
18,PO,33405.712,0:00:33,0.0007,0.0733,0.0007
20,PO,32676.734,0:00:33,0.0007,0.0737,0.0007
22,PO,33895.945,0:00:34,0.0008,0.0783,0.0007
24,PO,32106.608,0:00:32,0.0008,0.0765,0.0007
26,PO,33226.825,0:00:33,0.0008,0.0805,0.0007
28,PO,33076.953,0:00:33,0.0008,0.0818,0.0008
30,PO,33401.967,0:00:33,0.0009,0.0844,0.0008
32,PO,33677.241,0:00:34,0.0009,0.0864,0.0008
34,PO,35362.614,0:00:35,0.0009,0.0907,0.0008
36,PO,32730.858,0:00:33,0.0009,0.0873,0.0008
38,PO,36297.480,0:00:36,0.0010,0.0942,0.0009
40,PO,35170.146,0:00:35,0.0010,0.0947,0.0009
42,PO,36211.255,0:00:36,0.0010,0.0979,0.0009
44,PO,36479.600,0:00:36,0.0010,0.0994,0.0009
46,PO,38585.484,0:00:39,0.0011,0.1053,0.0010
48,PO,37977.823,0:00:38,0.0011,0.1045,0.0010
50,PO,38234.518,0:00:38,0.0011,0.1053,0.0010
52,PO,39077.336,0:00:39,0.0011,0.1071,0.0010
54,PO,38983.633,0:00:39,0.0011,0.1075,0.0010
56,PO,38504.474,0:00:39,0.0011,0.1083,0.0010
58,PO,35598.558,0:00:36,0.0010,0.1026,0.0010
60,PO,36923.960,0:00:37,0.0011,0.1051,0.0010
62,PO,35142.062,0:00:35,0.0010,0.1025,0.0010
64,PO,36462.934,0:00:36,0.0011,0.1054,0.0010
66,PO,33358.318,0:00:33,0.0010,0.1000,0.0009
68,PO,34890.004,0:00:35,0.0011,0.1035,0.0010
70,PO,36061.347,0:00:36,0.0011,0.1056,0.0010
72,PO,32537.769,0:00:33,0.0010,0.0985,0.0009
74,PO,35805.153,0:00:36,0.0011,0.1052,0.0010
76,PO,33239.171,0:00:33,0.0010,0.1001,0.0009
78,PO,31365.574,0:00:31,0.0010,0.0964,0.0009
80,PO,33765.607,0:00:34,0.0010,0.1023,0.0010
82,PO,34970.969,0:00:35,0.0011,0.1047,0.0010
84,PO,34408.956,0:00:34,0.0011,0.1043,0.0010
86,PO,32348.670,0:00:32,0.0010,0.0999,0.0009
88,PO,32925.009,0:00:33,0.0010,0.1021,0.0009
