Treads,App,Time,Energy,CO2eq,travelled
2,PO,117.5069,0.0016,0.2208,0.0021
4,PO,64.2441,0.0011,0.1446,0.0014
6,PO,46.783,0.0009,0.1171,0.0011
8,PO,39.9579,0.0008,0.1073,0.001
10,PO,36.5918,0.0007,0.103,0.001
12,PO,34.6337,0.0007,0.0721,0.0007
14,PO,34.0836,0.0007,0.0726,0.0007
16,PO,34.2827,0.0007,0.073,0.0007
18,PO,33.4772,0.0007,0.0736,0.0007
20,PO,33.0412,0.0008,0.074,0.0007
22,PO,33.4016,0.0008,0.0772,0.0007
24,PO,33.1615,0.0008,0.0785,0.0007
26,PO,33.1268,0.0008,0.0803,0.0007
28,PO,33.4143,0.0008,0.0826,0.0008
30,PO,33.5419,0.0009,0.0845,0.0008
32,PO,34.2255,0.0009,0.0874,0.0008
34,PO,34.6005,0.0009,0.0894,0.0008
36,PO,36.078,0.001,0.0936,0.0009
38,PO,36.0547,0.001,0.0943,0.0009
40,PO,35.4674,0.001,0.0947,0.0009
42,PO,35.6422,0.001,0.0966,0.0009
44,PO,38.1296,0.001,0.1018,0.0009
46,PO,37.8778,0.0011,0.1035,0.001
48,PO,38.1718,0.0011,0.1042,0.001
50,PO,38.1108,0.0011,0.1049,0.001
52,PO,36.8188,0.001,0.1031,0.001
54,PO,36.8017,0.0011,0.1037,0.001
56,PO,37.269,0.0011,0.1051,0.001
58,PO,35.9916,0.001,0.1031,0.001
60,PO,35.5026,0.001,0.1019,0.001
62,PO,36.0153,0.0011,0.147,0.0014
64,PO,35.0038,0.0011,0.1411,0.0013
66,PO,34.5914,0.001,0.142,0.0013
68,PO,35.0485,0.0011,0.1442,0.0014
70,PO,35.7198,0.0011,0.1465,0.0014
72,PO,34.5118,0.001,0.1417,0.0013
74,PO,34.9424,0.0011,0.1426,0.0013
76,PO,33.4989,0.001,0.1406,0.0013
78,PO,34.877,0.0011,0.146,0.0014
80,PO,34.2058,0.0011,0.1455,0.0014
82,PO,34.61,0.0011,0.1478,0.0014
84,PO,34.3952,0.0011,0.1477,0.0014
86,PO,34.2354,0.001,0.1448,0.0013
88,PO,33.5245,0.001,0.1424,0.0013
