 Treads  Execution Time    Time  Energy  CO2eq  km travelled by car
      2       48,364404 0:00:48  0,0019 0,2726               0,0025
      4       35,794332 0:00:36  0,0014 0,1989               0,0018
      6       32,504382 0:00:33  0,0012 0,1762               0,0016
      8       32,325147 0:00:32  0,0012 0,1759               0,0016
     10       31,527024 0:00:32  0,0012 0,1714               0,0016
     12       31,310631 0:00:31  0,0012 0,1686               0,0016
     14       30,567076 0:00:31  0,0013 0,1814               0,0017
     16       31,358835 0:00:31  0,0013 0,1828               0,0017
     18       31,441120 0:00:31  0,0013 0,1867               0,0017
     20       30,831211 0:00:31  0,0013 0,1874               0,0017
     22       31,596136 0:00:32  0,0014 0,1940               0,0018
     24       32,310521 0:00:32  0,0014 0,1987               0,0018
     26       31,744510 0:00:32  0,0014 0,1946               0,0018
     28       31,847474 0:00:32  0,0014 0,1944               0,0018
     30       31,373392 0:00:31  0,0014 0,1949               0,0018
     32       32,999291 0:00:33  0,0014 0,2029               0,0019
     34       31,556952 0:00:32  0,0014 0,1969               0,0018
     36       32,505621 0:00:33  0,0014 0,2030               0,0019
     38       33,112256 0:00:33  0,0014 0,2050               0,0019
     40       34,353799 0:00:34  0,0016 0,2325               0,0022
     42       33,236033 0:00:33  0,0015 0,2064               0,0019
     44       33,850866 0:00:34  0,0014 0,2011               0,0019
     46       33,557385 0:00:34  0,0015 0,2076               0,0019
     48       34,352904 0:00:34  0,0017 0,2456               0,0023
     50       34,239356 0:00:34  0,0017 0,2422               0,0023
     52       34,550823 0:00:35  0,0019 0,2637               0,0025
     54       35,124287 0:00:35  0,0021 0,2984               0,0028
     56       35,280891 0:00:35  0,0019 0,2738               0,0025
     58       34,773760 0:00:35  0,0023 0,3210               0,0030
     60       34,496893 0:00:35  0,0022 0,3103               0,0029
     62       35,215798 0:00:35  0,0021 0,3045               0,0028
     64       36,999839 0:00:37  0,0022 0,3098               0,0029
     66       36,565344 0:00:37  0,0022 0,3088               0,0029
     68       37,123320 0:00:37  0,0021 0,2967               0,0028
     70       36,109860 0:00:36  0,0021 0,2978               0,0028
     72       36,534663 0:00:37  0,0023 0,3293               0,0031
     74       35,446831 0:00:35  0,0021 0,3018               0,0028
     76       36,876100 0:00:37  0,0023 0,3198               0,0030
     78       37,052500 0:00:37  0,0022 0,3088               0,0029
     80       36,792308 0:00:37  0,0023 0,3242               0,0030
     82       36,370451 0:00:36  0,0021 0,2999               0,0028
     84       35,944627 0:00:36  0,0020 0,2873               0,0027
     86       36,093410 0:00:36  0,0021 0,2979               0,0028
     88       36,834159 0:00:37  0,0023 0,3195               0,0030
      1       66,240051 0:01:06  0,0024 0,3453               0,0032
      2       47,690894 0:00:48  0,0020 0,2787               0,0026
      3       40,284012 0:00:40  0,0015 0,2169               0,0020
      4       35,547685 0:00:36  0,0014 0,2012               0,0019
      5       33,376760 0:00:33  0,0012 0,1764               0,0016
      6       32,395630 0:00:32  0,0012 0,1728               0,0016
      7       31,677736 0:00:32  0,0012 0,1759               0,0016
      8       31,180685 0:00:31  0,0013 0,1828               0,0017
      9       31,383306 0:00:31  0,0013 0,1806               0,0017
     10       31,055605 0:00:31  0,0013 0,1846               0,0017
     11       30,791318 0:00:31  0,0014 0,1916               0,0018
     12       30,009961 0:00:30  0,0014 0,1958               0,0018
     13       30,916240 0:00:31  0,0012 0,1761               0,0016
     14       31,202615 0:00:31  0,0013 0,1802               0,0017
     15       30,500804 0:00:31  0,0013 0,1878               0,0017
     16       30,904853 0:00:31  0,0013 0,1818               0,0017
     17       30,680017 0:00:31  0,0013 0,1812               0,0017
     18       30,456859 0:00:30  0,0013 0,1816               0,0017
     19       30,710093 0:00:31  0,0013 0,1825               0,0017
     20       30,672333 0:00:31  0,0014 0,1914               0,0018
     21       31,042194 0:00:31  0,0013 0,1881               0,0017
     22       31,974609 0:00:32  0,0014 0,1972               0,0018
     23       30,722433 0:00:31  0,0013 0,1883               0,0018
     24       31,827682 0:00:32  0,0014 0,1956               0,0018
     25       31,322684 0:00:31  0,0013 0,1907               0,0018
     26       32,907065 0:00:33  0,0014 0,2046               0,0019
     27       32,799870 0:00:33  0,0014 0,2019               0,0019
     28       31,171054 0:00:31  0,0013 0,1907               0,0018
     29       31,898272 0:00:32  0,0014 0,1954               0,0018
     30       33,285601 0:00:33  0,0014 0,2052               0,0019
     31       31,453223 0:00:31  0,0014 0,1915               0,0018
     32       33,234434 0:00:33  0,0015 0,2064               0,0019
     33       33,355615 0:00:33  0,0015 0,2067               0,0019
     34       33,273566 0:00:33  0,0014 0,2024               0,0019
     35       32,349135 0:00:32  0,0014 0,1997               0,0019
     36       33,023437 0:00:33  0,0014 0,2040               0,0019
     37       32,894572 0:00:33  0,0014 0,2050               0,0019
     38       33,021435 0:00:33  0,0014 0,2050               0,0019
     39       33,085715 0:00:33  0,0014 0,2045               0,0019
     40       32,975415 0:00:33  0,0014 0,2051               0,0019
     41       33,375248 0:00:33  0,0014 0,2024               0,0019
     42       32,035663 0:00:32  0,0014 0,1961               0,0018
     43       33,288849 0:00:33  0,0015 0,2066               0,0019
     44       33,136919 0:00:33  0,0015 0,2056               0,0019
     45       34,283807 0:00:34  0,0016 0,2291               0,0021
     46       34,550662 0:00:35  0,0017 0,2479               0,0023
     47       34,468635 0:00:34  0,0018 0,2506               0,0023
     48       34,264056 0:00:34  0,0017 0,2403               0,0022
     49       34,092377 0:00:34  0,0017 0,2443               0,0023
     50       33,960236 0:00:34  0,0016 0,2275               0,0021
     51       34,427694 0:00:34  0,0019 0,2711               0,0025
     52       34,633982 0:00:35  0,0022 0,3049               0,0028
     53       34,122576 0:00:34  0,0019 0,2707               0,0025
     54       33,963534 0:00:34  0,0019 0,2641               0,0025
     55       34,735037 0:00:35  0,0021 0,3043               0,0028
     56       35,134931 0:00:35  0,0023 0,3190               0,0030
     57       34,882116 0:00:35  0,0023 0,3226               0,0030
     58       35,758992 0:00:36  0,0021 0,3019               0,0028
     59       35,533683 0:00:36  0,0021 0,3021               0,0028
     60       35,541646 0:00:36  0,0021 0,2983               0,0028
     61       35,830890 0:00:36  0,0021 0,3019               0,0028
     62       35,194669 0:00:35  0,0023 0,3226               0,0030
     63       35,516814 0:00:36  0,0022 0,3110               0,0029
     64       35,825966 0:00:36  0,0021 0,3028               0,0028
     65       36,414740 0:00:36  0,0023 0,3285               0,0031
     66       35,998964 0:00:36  0,0022 0,3075               0,0029
     67       36,199681 0:00:36  0,0023 0,3210               0,0030
     68       34,604600 0:00:35  0,0023 0,3210               0,0030
     69       35,995987 0:00:36  0,0022 0,3069               0,0029
     70       36,080566 0:00:36  0,0021 0,3021               0,0028
     71       36,163403 0:00:36  0,0021 0,3004               0,0028
     72       36,050158 0:00:36  0,0023 0,3207               0,0030
