 Treads  Execution time    Time  Energy  CO2eq  km travelled by car
      2        37,38747 0:00:37  0,0015 0,2182               0,0020
      4        22,09497 0:00:22  0,0010 0,1352               0,0013
      6        14,64822 0:00:15  0,0007 0,0970               0,0009
      8        14,20729 0:00:14  0,0007 0,0961               0,0009
     10        12,20955 0:00:12  0,0006 0,0869               0,0008
     12        11,00276 0:00:11  0,0004 0,0570               0,0005
     14        10,83297 0:00:11  0,0004 0,0563               0,0005
     16        10,51690 0:00:11  0,0004 0,0549               0,0005
     18        10,63299 0:00:11  0,0004 0,0556               0,0005
     20        10,42432 0:00:10  0,0004 0,0548               0,0005
     22        10,63820 0:00:11  0,0004 0,0562               0,0005
     24        11,63573 0:00:12  0,0004 0,0588               0,0005
     26        11,41603 0:00:11  0,0004 0,0593               0,0006
     28        12,01667 0:00:12  0,0007 0,0949               0,0009
     30        11,41607 0:00:11  0,0004 0,0593               0,0006
     32        11,55822 0:00:12  0,0004 0,0596               0,0006
     34        11,51681 0:00:12  0,0004 0,0606               0,0006
     36        12,21797 0:00:12  0,0007 0,1059               0,0010
     38        11,57860 0:00:12  0,0004 0,0603               0,0006
     40        12,54095 0:00:13  0,0008 0,1067               0,0010
     42        12,15878 0:00:12  0,0007 0,1060               0,0010
     44        11,95329 0:00:12  0,0007 0,1009               0,0009
     46        11,91758 0:00:12  0,0007 0,1024               0,0010
     48        12,55586 0:00:13  0,0008 0,1124               0,0010
     50        11,93066 0:00:12  0,0007 0,1042               0,0010
     52        12,24949 0:00:12  0,0008 0,1122               0,0010
     54        11,70789 0:00:12  0,0004 0,0610               0,0006
     56        10,96535 0:00:11  0,0004 0,0576               0,0005
     58        11,19788 0:00:11  0,0004 0,0589               0,0005
     60        11,91044 0:00:12  0,0008 0,1068               0,0010
     62        10,88291 0:00:11  0,0004 0,0581               0,0005
     64        12,12037 0:00:12  0,0008 0,1164               0,0011
     66        11,40969 0:00:11  0,0004 0,0604               0,0006
     68        11,26685 0:00:11  0,0004 0,0596               0,0006
     70        11,44453 0:00:11  0,0004 0,0594               0,0006
     72        12,04328 0:00:12  0,0008 0,1170               0,0011
     74        11,62913 0:00:12  0,0004 0,0622               0,0006
     76        12,58802 0:00:13  0,0009 0,1223               0,0011
     78        11,40398 0:00:11  0,0004 0,0602               0,0006
     80        11,99947 0:00:12  0,0008 0,1145               0,0011
     82        12,97395 0:00:13  0,0009 0,1238               0,0012
     84        11,63401 0:00:12  0,0004 0,0613               0,0006
     86        12,36039 0:00:12  0,0009 0,1217               0,0011
