Treads|Execution Time|Time|Energy|CO2eq|travelled
2|47,686344|0:00:48|0,0020|0,9476|0,0088
4|35,962919|0:00:36|0,0014|0,6679|0,0062
6|33,156282|0:00:33|0,0012|0,5874|0,0055
8|32,558559|0:00:33|0,0012|0,5889|0,0055
10|32,555424|0:00:33|0,0013|0,6022|0,0056
12|30,793562|0:00:31|0,0014|0,6603|0,0061
14|30,724080|0:00:31|0,0013|0,6329|0,0059
16|30,969098|0:00:31|0,0014|0,6558|0,0061
18|31,664976|0:00:32|0,0013|0,6351|0,0059
20|30,458577|0:00:30|0,0013|0,6155|0,0057
22|30,876599|0:00:31|0,0013|0,6325|0,0059
24|32,410144|0:00:32|0,0014|0,6734|0,0063
26|30,917267|0:00:31|0,0013|0,6391|0,0059
28|31,019163|0:00:31|0,0013|0,6409|0,0060
30|31,836497|0:00:32|0,0014|0,6586|0,0061
32|31,550406|0:00:32|0,0014|0,6542|0,0061
34|33,052450|0:00:33|0,0015|0,6996|0,0065
36|33,510337|0:00:34|0,0015|0,7081|0,0066
38|32,766363|0:00:33|0,0014|0,6843|0,0064
40|33,034790|0:00:33|0,0015|0,6915|0,0064
42|33,700837|0:00:34|0,0015|0,7037|0,0065
44|33,791676|0:00:34|0,0015|0,7146|0,0066
46|32,538883|0:00:33|0,0015|0,6966|0,0065
48|33,202194|0:00:33|0,0016|0,7494|0,0070
50|33,007036|0:00:33|0,0016|0,7687|0,0072
52|34,721983|0:00:35|0,0020|0,9294|0,0086
54|34,180118|0:00:34|0,0019|0,9105|0,0085
56|34,529696|0:00:35|0,0021|0,9958|0,0093
58|35,266381|0:00:35|0,0022|1,0424|0,0097
60|35,154340|0:00:35|0,0023|1,0865|0,0101
62|34,306341|0:00:34|0,0021|1,0084|0,0094
64|34,518610|0:00:35|0,0023|1,0753|0,0100
66|36,364962|0:00:36|0,0023|1,0952|0,0102
68|35,077483|0:00:35|0,0022|1,0265|0,0095
70|35,933477|0:00:36|0,0021|1,0011|0,0093
72|36,266884|0:00:36|0,0022|1,0230|0,0095
74|36,294614|0:00:36|0,0022|1,0484|0,0098
76|36,815961|0:00:37|0,0024|1,1523|0,0107
78|36,395304|0:00:36|0,0021|0,9986|0,0093
80|36,198927|0:00:36|0,0022|1,0579|0,0098
82|35,962251|0:00:36|0,0020|0,9421|0,0088
84|35,969819|0:00:36|0,0020|0,9564|0,0089
86|36,251249|0:00:36|0,0021|1,0203|0,0095
88|37,097386|0:00:37|0,0023|1,1010|0,0102
