Treads|Time|Energy|CO2eq|travelled
2|0:00:36|0,0015|0,7076|0,0066
4|0:00:21|0,0009|0,4197|0,0039
6|0:00:16|0,0007|0,3543|0,0033
8|0:00:13|0,0006|0,2999|0,0028
10|0:00:12|0,0006|0,2658|0,0025
12|0:00:11|0,0004|0,2007|0,0019
14|0:00:11|0,0004|0,1952|0,0018
16|0:00:10|0,0004|0,1820|0,0017
18|0:00:10|0,0004|0,1812|0,0017
20|0:00:11|0,0004|0,1925|0,0018
22|0:00:11|0,0004|0,1847|0,0017
24|0:00:11|0,0004|0,1898|0,0018
26|0:00:12|0,0004|0,2081|0,0019
28|0:00:12|0,0007|0,3105|0,0029
30|0:00:11|0,0004|0,1946|0,0018
32|0:00:11|0,0004|0,1977|0,0018
34|0:00:12|0,0004|0,2035|0,0019
36|0:00:12|0,0004|0,2035|0,0019
38|0:00:12|0,0007|0,3504|0,0033
40|0:00:11|0,0004|0,1976|0,0018
42|0:00:12|0,0008|0,3725|0,0035
44|0:00:12|0,0007|0,3555|0,0033
46|0:00:12|0,0007|0,3558|0,0033
48|0:00:12|0,0008|0,3768|0,0035
50|0:00:12|0,0004|0,2060|0,0019
52|0:00:12|0,0004|0,2073|0,0019
54|0:00:11|0,0004|0,1995|0,0019
56|0:00:10|0,0004|0,1828|0,0017
58|0:00:11|0,0004|0,1892|0,0018
60|0:00:11|0,0004|0,1995|0,0019
62|0:00:12|0,0004|0,2078|0,0019
64|0:00:12|0,0008|0,3641|0,0034
66|0:00:10|0,0004|0,1732|0,0016
68|0:00:12|0,0008|0,3653|0,0034
70|0:00:12|0,0004|0,2049|0,0019
72|0:00:10|0,0004|0,1828|0,0017
74|0:00:11|0,0004|0,1978|0,0018
76|0:00:10|0,0004|0,1834|0,0017
78|0:00:12|0,0008|0,3966|0,0037
80|0:00:12|0,0004|0,2085|0,0019
82|0:00:12|0,0008|0,3899|0,0036
84|0:00:12|0,0008|0,3937|0,0037
86|0:00:11|0,0004|0,2044|0,0019
88|0:00:12|0,0008|0,4007|0,0037
