Treads|Execution Time|Time|Energy|CO2eq|travelled
2|63,21037|0:01:03|0,0027|1,2713|0,0118
4|33,31583|0:00:33|0,0016|0,7595|0,0071
6|24,47842|0:00:24|0,0013|0,6096|0,0057
8|20,66984|0:00:21|0,0011|0,5328|0,0050
10|18,96951|0:00:19|0,0011|0,5138|0,0048
12|17,44502|0:00:17|0,0010|0,4889|0,0045
14|17,50684|0:00:18|0,0011|0,5079|0,0047
16|16,91452|0:00:17|0,0011|0,5032|0,0047
18|17,26574|0:00:17|0,0011|0,5230|0,0049
20|18,28503|0:00:18|0,0012|0,5699|0,0053
22|18,16837|0:00:18|0,0012|0,5827|0,0054
24|17,62290|0:00:18|0,0012|0,5716|0,0053
26|17,63566|0:00:18|0,0012|0,5840|0,0054
28|17,87244|0:00:18|0,0013|0,6017|0,0056
30|18,88011|0:00:19|0,0013|0,6364|0,0059
32|18,11406|0:00:18|0,0013|0,6146|0,0057
34|18,53989|0:00:19|0,0013|0,6377|0,0059
36|18,21095|0:00:18|0,0014|0,6535|0,0061
38|18,38638|0:00:18|0,0014|0,6600|0,0061
40|19,02559|0:00:19|0,0014|0,6743|0,0063
42|19,22625|0:00:19|0,0015|0,6979|0,0065
44|19,63738|0:00:20|0,0014|0,6808|0,0063
46|20,10958|0:00:20|0,0015|0,7246|0,0067
48|20,07516|0:00:20|0,0015|0,7190|0,0067
50|19,52838|0:00:20|0,0015|0,7342|0,0068
52|18,87450|0:00:19|0,0015|0,7227|0,0067
54|18,70493|0:00:19|0,0015|0,7055|0,0066
56|17,89408|0:00:18|0,0015|0,7034|0,0065
58|18,09925|0:00:18|0,0015|0,6950|0,0065
60|18,70624|0:00:19|0,0015|0,7270|0,0068
62|17,16365|0:00:17|0,0015|0,7071|0,0066
64|17,95441|0:00:18|0,0015|0,7259|0,0068
66|18,02335|0:00:18|0,0015|0,7210|0,0067
68|17,37227|0:00:17|0,0015|0,7112|0,0066
70|16,52867|0:00:17|0,0015|0,6962|0,0065
72|16,36767|0:00:16|0,0014|0,6784|0,0063
74|17,23470|0:00:17|0,0015|0,7159|0,0067
76|16,89300|0:00:17|0,0015|0,7155|0,0067
78|17,56171|0:00:18|0,0016|0,7381|0,0069
80|16,35936|0:00:16|0,0015|0,6983|0,0065
82|15,81201|0:00:16|0,0014|0,6727|0,0063
84|16,26871|0:00:16|0,0015|0,6915|0,0064
86|17,13189|0:00:17|0,0015|0,7342|0,0068
88|17,31107|0:00:17|0,0016|0,7454|0,0069
