Treads,time_seconds,Time,Energy,CO2eq,travelled
2,456.66,0:07:40,0.0182,8.6251,0.0802
4,249.90,0:04:12,0.0111,5.2613,0.0489
6,180.00,0:03:02,0.0086,4.0800,0.0380
8,144.33,0:02:26,0.0072,3.4275,0.0319
10,121.96,0:02:03,0.0065,3.0648,0.0285
12,107.52,0:01:48,0.0060,2.8551,0.0266
14,95.60,0:01:36,0.0057,2.6941,0.0251
16,83.91,0:01:25,0.0053,2.5327,0.0236
18,76.66,0:01:17,0.0051,2.4282,0.0226
20,70.92,0:01:12,0.0049,2.3473,0.0218
22,69.88,0:01:11,0.0050,2.3683,0.0220
24,62.95,0:01:04,0.0048,2.2903,0.0213
26,58.29,0:00:59,0.0047,2.2144,0.0206
28,55.47,0:00:56,0.0045,2.1289,0.0198
30,50.90,0:00:51,0.0043,2.0546,0.0191
32,47.03,0:00:47,0.0042,1.9861,0.0185
34,46.70,0:00:47,0.0042,1.9870,0.0185
36,45.23,0:00:46,0.0042,1.9826,0.0184
38,41.49,0:00:42,0.0040,1.8824,0.0175
40,38.53,0:00:39,0.0039,1.8721,0.0174
42,37.88,0:00:38,0.0039,1.8704,0.0174
44,37.59,0:00:38,0.0040,1.8824,0.0175
46,47.56,0:00:48,0.0044,2.0721,0.0193
48,48.00,0:00:48,0.0044,2.0695,0.0193
50,48.29,0:00:49,0.0043,2.0605,0.0192
52,48.65,0:00:49,0.0044,2.0934,0.0195
54,42.98,0:00:43,0.0042,1.9914,0.0185
56,42.75,0:00:43,0.0042,1.9967,0.0186
58,38.34,0:00:39,0.0040,1.9200,0.0179
60,38.84,0:00:39,0.0041,1.9325,0.0180
62,39.39,0:00:40,0.0041,1.9430,0.0181
64,39.86,0:00:40,0.0041,1.9315,0.0180
66,40.88,0:00:41,0.0041,1.9499,0.0181
68,40.93,0:00:41,0.0041,1.9560,0.0182
70,40.49,0:00:41,0.0041,1.9564,0.0182
72,39.86,0:00:40,0.0041,1.9484,0.0181
74,38.92,0:00:39,0.0041,1.9381,0.0180
76,38.84,0:00:39,0.0041,1.9407,0.0181
78,37.94,0:00:38,0.0041,1.9413,0.0181
80,32.38,0:00:33,0.0038,1.7972,0.0167
82,31.93,0:00:32,0.0038,1.7934,0.0167
84,32.63,0:00:33,0.0038,1.8267,0.0170
86,32.06,0:00:32,0.0038,1.8024,0.0168
88,31.95,0:00:32,0.0038,1.7939,0.0167
