Treads|Time|Energy|CO2eq|travelled
2|0:02:48|0,0066|3,1228|0,0290
4|0:01:35|0,0041|0,5750|0,0053
6|0:01:01|0,0028|0,3966|0,0037
8|0:00:48|0,0023|0,3276|0,0030
10|0:00:39|0,0020|0,2857|0,0027
12|0:00:33|0,0018|0,2563|0,0024
14|0:00:29|0,0016|0,2317|0,0022
16|0:00:26|0,0016|0,2238|0,0021
18|0:00:23|0,0015|0,2091|0,0019
20|0:00:22|0,0015|0,2077|0,0019
22|0:00:20|0,0014|0,1916|0,0018
24|0:00:19|0,0014|0,2009|0,0019
26|0:00:18|0,0014|0,1954|0,0018
28|0:00:23|0,0018|0,2544|0,0024
30|0:00:17|0,0013|0,1870|0,0017
32|0:00:15|0,0012|0,1721|0,0016
34|0:00:14|0,0012|0,1714|0,0016
36|0:00:14|0,0012|0,1766|0,0016
38|0:00:13|0,0012|0,1738|0,0016
40|0:00:13|0,0012|0,1671|0,0016
42|0:00:13|0,0012|0,1736|0,0016
44|0:00:11|0,0010|0,1415|0,0013
46|0:00:15|0,0014|0,2028|0,0019
48|0:00:15|0,0014|0,1998|0,0019
50|0:00:14|0,0014|0,1926|0,0018
52|0:00:14|0,0013|0,1876|0,0017
54|0:00:14|0,0013|0,1824|0,0017
56|0:00:13|0,0013|0,1841|0,0017
58|0:00:13|0,0013|0,1852|0,0017
60|0:00:13|0,0013|0,1799|0,0017
62|0:00:13|0,0013|0,1801|0,0017
64|0:00:13|0,0013|0,1811|0,0017
66|0:00:13|0,0013|0,1818|0,0017
68|0:00:12|0,0012|0,1736|0,0016
70|0:00:12|0,0011|0,1589|0,0015
72|0:00:11|0,0011|0,1583|0,0015
74|0:00:11|0,0011|0,1541|0,0014
76|0:00:11|0,0011|0,1547|0,0014
78|0:00:11|0,0011|0,1572|0,0015
80|0:00:11|0,0011|0,1510|0,0014
82|0:00:10|0,0010|0,1427|0,0013
84|0:00:10|0,0010|0,1449|0,0013
86|0:00:10|0,0010|0,1423|0,0013
88|0:00:09|0,0009|0,1335|0,0012
