Treads|Time|Energy|CO2eq|travelled
2|0:01:39|0,0041|1,9268|0,0179
4|0:00:53|0,0024|1,1485|0,0107
6|0:00:38|0,0019|0,8944|0,0083
8|0:00:31|0,0016|0,7521|0,0070
10|0:00:26|0,0014|0,6683|0,0062
12|0:00:23|0,0013|0,6007|0,0056
14|0:00:20|0,0012|0,5794|0,0054
16|0:00:18|0,0012|0,5607|0,0052
18|0:00:17|0,0012|0,5589|0,0052
20|0:00:16|0,0012|0,5546|0,0052
22|0:00:16|0,0012|0,5543|0,0052
24|0:00:15|0,0012|0,5561|0,0052
26|0:00:14|0,0011|0,5274|0,0049
28|0:00:13|0,0011|0,5113|0,0048
30|0:00:12|0,0010|0,4593|0,0043
32|0:00:11|0,0009|0,4478|0,0042
34|0:00:10|0,0009|0,4343|0,0040
36|0:00:10|0,0009|0,4247|0,0040
38|0:00:10|0,0009|0,4199|0,0039
40|0:00:09|0,0009|0,4183|0,0039
42|0:00:09|0,0009|0,4141|0,0039
44|0:00:08|0,0009|0,4131|0,0038
46|0:00:11|0,0010|0,4827|0,0045
48|0:00:11|0,0010|0,4708|0,0044
50|0:00:11|0,0010|0,4701|0,0044
52|0:00:11|0,0010|0,4716|0,0044
54|0:00:11|0,0010|0,4740|0,0044
56|0:00:11|0,0010|0,4810|0,0045
58|0:00:11|0,0010|0,4881|0,0045
60|0:00:11|0,0010|0,4818|0,0045
62|0:00:11|0,0010|0,4872|0,0045
64|0:00:11|0,0011|0,5072|0,0047
66|0:00:11|0,0011|0,5098|0,0047
68|0:00:11|0,0011|0,5060|0,0047
70|0:00:11|0,0011|0,5076|0,0047
72|0:00:11|0,0010|0,4949|0,0046
74|0:00:10|0,0010|0,4934|0,0046
76|0:00:10|0,0010|0,4906|0,0046
78|0:00:10|0,0010|0,4732|0,0044
80|0:00:09|0,0010|0,4797|0,0045
82|0:00:09|0,0010|0,4740|0,0044
84|0:00:09|0,0010|0,4739|0,0044
86|0:00:09|0,0010|0,4793|0,0045
88|0:00:09|0,0010|0,4825|0,0045
