Treads,time_seconds,Time,Energy,CO2eq,travelled
2,89.95,0:01:38,0.0040,0.5697,0.0053
4,49.13,0:00:54,0.0024,0.3453,0.0032
6,35.11,0:00:38,0.0019,0.2670,0.0025
8,28.06,0:00:31,0.0016,0.2230,0.0021
10,23.74,0:00:26,0.0014,0.1985,0.0018
12,20.62,0:00:22,0.0013,0.1787,0.0017
14,18.48,0:00:20,0.0012,0.1730,0.0016
16,16.76,0:00:18,0.0012,0.1642,0.0015
18,15.90,0:00:17,0.0012,0.1664,0.0015
20,14.99,0:00:16,0.0011,0.1626,0.0015
22,14.83,0:00:16,0.0012,0.1653,0.0015
24,13.56,0:00:15,0.0012,0.1660,0.0015
26,12.59,0:00:14,0.0011,0.1574,0.0015
28,11.67,0:00:13,0.0011,0.1534,0.0014
30,10.85,0:00:12,0.0010,0.1385,0.0013
32,10.18,0:00:11,0.0009,0.1330,0.0012
34,9.67,0:00:11,0.0009,0.1298,0.0012
36,9.16,0:00:10,0.0009,0.1258,0.0012
38,8.86,0:00:10,0.0009,0.1246,0.0012
40,8.27,0:00:09,0.0009,0.1246,0.0012
42,7.94,0:00:09,0.0009,0.1229,0.0011
44,7.66,0:00:08,0.0009,0.1228,0.0011
46,10.27,0:00:11,0.0010,0.1424,0.0013
48,10.00,0:00:11,0.0010,0.1414,0.0013
50,10.18,0:00:11,0.0010,0.1418,0.0013
52,9.64,0:00:10,0.0010,0.1389,0.0013
54,9.96,0:00:11,0.0010,0.1415,0.0013
56,10.07,0:00:11,0.0010,0.1404,0.0013
58,9.85,0:00:11,0.0010,0.1455,0.0014
60,9.79,0:00:11,0.0010,0.1431,0.0013
62,10.09,0:00:11,0.0010,0.1434,0.0013
64,10.30,0:00:11,0.0011,0.1529,0.0014
66,10.32,0:00:11,0.0011,0.1518,0.0014
68,10.12,0:00:11,0.0010,0.1458,0.0014
70,10.14,0:00:11,0.0011,0.1520,0.0014
72,9.79,0:00:11,0.0010,0.1479,0.0014
74,9.52,0:00:10,0.0011,0.1496,0.0014
76,9.14,0:00:10,0.0010,0.1461,0.0014
78,8.78,0:00:09,0.0010,0.1423,0.0013
80,8.80,0:00:10,0.0010,0.1420,0.0013
82,8.75,0:00:09,0.0010,0.1411,0.0013
84,8.47,0:00:09,0.0010,0.1402,0.0013
86,8.16,0:00:09,0.0010,0.1424,0.0013
88,8.19,0:00:09,0.0010,0.1411,0.0013
