Treads|Time|Energy|CO2eq|travelled
2|0:04:12|0,0101|1,4248|0,0133
4|0:02:24|0,0064|0,9003|0,0084
6|0:01:50|0,0052|0,7352|0,0068
8|0:01:33|0,0046|0,6515|0,0061
10|0:01:22|0,0042|0,6013|0,0056
12|0:01:14|0,0041|0,5779|0,0054
14|0:01:08|0,0040|0,5621|0,0052
16|0:01:04|0,0039|0,5536|0,0051
18|0:01:04|0,0040|0,5736|0,0053
20|0:00:58|0,0039|0,5467|0,0051
22|0:00:56|0,0039|0,5495|0,0051
24|0:00:50|0,0037|0,5287|0,0049
26|0:00:45|0,0035|0,4924|0,0046
28|0:00:42|0,0034|0,4756|0,0044
30|0:00:38|0,0032|0,4496|0,0042
32|0:00:36|0,0030|0,4314|0,0040
34|0:00:34|0,0029|0,4151|0,0039
36|0:00:31|0,0028|0,4029|0,0037
38|0:00:30|0,0028|0,3998|0,0037
40|0:00:29|0,0028|0,3910|0,0036
42|0:00:27|0,0027|0,3847|0,0036
44|0:00:27|0,0028|0,3949|0,0037
46|0:00:33|0,0032|0,4521|0,0042
48|0:00:33|0,0032|0,4502|0,0042
50|0:00:33|0,0032|0,4508|0,0042
52|0:00:32|0,0032|0,4504|0,0042
54|0:00:32|0,0031|0,4439|0,0041
56|0:00:32|0,0032|0,4485|0,0042
58|0:00:31|0,0031|0,4440|0,0041
60|0:00:31|0,0032|0,4481|0,0042
62|0:00:33|0,0033|0,4654|0,0043
64|0:00:32|0,0032|0,4535|0,0042
66|0:00:32|0,0033|0,4612|0,0043
68|0:00:31|0,0032|0,4535|0,0042
70|0:00:30|0,0031|0,4355|0,0041
72|0:00:29|0,0030|0,4264|0,0040
74|0:00:28|0,0030|0,4230|0,0039
76|0:00:28|0,0029|0,4173|0,0039
78|0:00:28|0,0029|0,4180|0,0039
80|0:00:27|0,0029|0,4055|0,0038
82|0:00:27|0,0029|0,4090|0,0038
84|0:00:27|0,0029|0,4046|0,0038
86|0:00:26|0,0029|0,4050|0,0038
88|0:00:25|0,0027|0,3896|0,0036
