 Treads  Execution Time    Time  Energy  CO2eq  km travelled by car
      2         2,72187 0:00:03  0,0001 0,0538               0,0005
      4         1,45322 0:00:01  0,0001 0,0321               0,0003
      6         1,01958 0:00:01  0,0001 0,0242               0,0002
      8         0,83071 0:00:01  0,0000 0,0181               0,0002
     10         0,75379 0:00:01  0,0000 0,0000               0,0000
     12         0,63934 0:00:01  0,0000 0,0000               0,0000
     14         0,52627 0:00:01  0,0000 0,0000               0,0000
     16         0,47811 0:00:00  0,0000 0,0000               0,0000
     18         0,47571 0:00:00  0,0000 0,0000               0,0000
     20         0,54972 0:00:01  0,0000 0,0000               0,0000
     22         0,54153 0:00:01  0,0000 0,0000               0,0000
     24         0,67593 0:00:01  0,0000 0,0000               0,0000
     26         0,62011 0:00:01  0,0000 0,0000               0,0000
     28         0,61534 0:00:01  0,0000 0,0000               0,0000
     30         0,57265 0:00:01  0,0000 0,0000               0,0000
     32         0,53350 0:00:01  0,0000 0,0000               0,0000
     34         0,53442 0:00:01  0,0000 0,0000               0,0000
     36         0,51163 0:00:01  0,0000 0,0000               0,0000
     38         0,49528 0:00:01  0,0000 0,0000               0,0000
     40         0,49475 0:00:01  0,0000 0,0000               0,0000
     42         0,49656 0:00:01  0,0000 0,0000               0,0000
     44         0,49618 0:00:01  0,0000 0,0000               0,0000
     46         0,46743 0:00:00  0,0000 0,0100               0,0001
     48         0,46418 0:00:00  0,0000 0,0000               0,0000
     50         0,44720 0:00:00  0,0000 0,0000               0,0000
     52         0,44871 0:00:00  0,0000 0,0000               0,0000
     54         0,42132 0:00:00  0,0000 0,0000               0,0000
     56         0,42942 0:00:00  0,0000 0,0000               0,0000
     58         0,48535 0:00:00  0,0000 0,0000               0,0000
     60         0,38729 0:00:00  0,0000 0,0000               0,0000
     62         0,38238 0:00:00  0,0000 0,0000               0,0000
     64         0,39101 0:00:00  0,0000 0,0000               0,0000
     66         0,36715 0:00:00  0,0000 0,0000               0,0000
     68         0,36294 0:00:00  0,0000 0,0000               0,0000
     70         0,36156 0:00:00  0,0000 0,0000               0,0000
     72         0,39502 0:00:00  0,0000 0,0000               0,0000
     74         0,33638 0:00:00  0,0000 0,0000               0,0000
     76         0,33855 0:00:00  0,0000 0,0000               0,0000
     78         0,32384 0:00:00  0,0000 0,0000               0,0000
     80         0,32571 0:00:00  0,0000 0,0000               0,0000
     82         0,31743 0:00:00  0,0000 0,0000               0,0000
     84         0,35154 0:00:00  0,0000 0,0000               0,0000
     86         0,31437 0:00:00  0,0000 0,0000               0,0000
     88         0,30914 0:00:00  0,0000 0,0000               0,0000
