 Treads  Execution Time    Time  Energy  CO2eq  km travelled by car
      2       47,422202 0:00:47  0,0020 0,2811               0,0026
      4       35,732411 0:00:36  0,0014 0,2002               0,0019
      6       33,867306 0:00:34  0,0013 0,1799               0,0017
      8       31,514284 0:00:32  0,0013 0,1794               0,0017
     10       30,868696 0:00:31  0,0013 0,1870               0,0017
     12       30,170264 0:00:30  0,0013 0,1896               0,0018
     14       30,207924 0:00:30  0,0014 0,2007               0,0019
     16       30,330684 0:00:30  0,0013 0,1844               0,0017
     18       31,139773 0:00:31  0,0013 0,1867               0,0017
     20       30,205043 0:00:30  0,0014 0,2004               0,0019
     22       30,990920 0:00:31  0,0014 0,1954               0,0018
     24       30,924226 0:00:31  0,0014 0,1916               0,0018
     26       31,766319 0:00:32  0,0014 0,1940               0,0018
     28       30,975371 0:00:31  0,0014 0,1923               0,0018
     30       32,448925 0:00:32  0,0014 0,2033               0,0019
     32       31,165148 0:00:31  0,0014 0,1927               0,0018
     34       32,975397 0:00:33  0,0015 0,2071               0,0019
     36       32,660182 0:00:33  0,0015 0,2061               0,0019
     38       32,041461 0:00:32  0,0014 0,1979               0,0018
     40       32,933818 0:00:33  0,0014 0,2043               0,0019
     42       32,952176 0:00:33  0,0014 0,2009               0,0019
     44       33,338906 0:00:33  0,0015 0,2084               0,0019
     46       34,548087 0:00:35  0,0018 0,2544               0,0024
     48       34,390651 0:00:34  0,0017 0,2440               0,0023
     50       34,724421 0:00:35  0,0019 0,2645               0,0025
     52       35,502971 0:00:36  0,0020 0,2815               0,0026
     54       34,094397 0:00:34  0,0019 0,2691               0,0025
     56       34,604061 0:00:35  0,0022 0,3110               0,0029
     58       35,363279 0:00:35  0,0022 0,3054               0,0028
     60       35,228908 0:00:35  0,0022 0,3171               0,0029
     62       36,205939 0:00:36  0,0021 0,3028               0,0028
     64       35,857185 0:00:36  0,0021 0,3026               0,0028
     66       35,875737 0:00:36  0,0022 0,3078               0,0029
     68       36,293372 0:00:36  0,0023 0,3231               0,0030
     70       34,852899 0:00:35  0,0023 0,3302               0,0031
     72       35,289589 0:00:35  0,0021 0,2965               0,0028
     74       36,318775 0:00:36  0,0023 0,3212               0,0030
     76       36,977499 0:00:37  0,0024 0,3402               0,0032
     78       36,895103 0:00:37  0,0023 0,3304               0,0031
     80       36,365110 0:00:36  0,0022 0,3173               0,0030
     82       36,260678 0:00:36  0,0021 0,2998               0,0028
     84       36,286575 0:00:36  0,0021 0,2970               0,0028
     86       36,814510 0:00:37  0,0024 0,3370               0,0031
     88       36,036839 0:00:36  0,0020 0,2840               0,0026
