Threads,time_seconds,Time,Energy,CO2eq,travelled
2,36.97785,0:00:37,0.0015,0.7347,0.0068
4,21.48758,0:00:22,0.0009,0.4435,0.0041
6,15.92686,0:00:16,0.0007,0.3456,0.0032
8,13.55086,0:00:14,0.0007,0.3101,0.0029
10,11.55496,0:00:12,0.0004,0.2028,0.0019
12,11.31498,0:00:11,0.0004,0.1996,0.0019
14,11.03767,0:00:11,0.0004,0.1946,0.0018
16,10.57713,0:00:11,0.0004,0.1870,0.0017
18,10.48030,0:00:10,0.0004,0.1847,0.0017
20,10.93624,0:00:11,0.0004,0.1937,0.0018
22,11.04147,0:00:11,0.0004,0.1944,0.0018
24,10.89090,0:00:11,0.0004,0.1920,0.0018
26,11.38096,0:00:11,0.0004,0.1995,0.0019
28,11.30815,0:00:11,0.0004,0.1978,0.0018
30,11.35552,0:00:11,0.0004,0.1988,0.0018
32,11.58116,0:00:12,0.0004,0.2023,0.0019
34,11.17807,0:00:11,0.0004,0.1958,0.0018
36,11.41728,0:00:11,0.0004,0.2010,0.0019
38,12.13513,0:00:12,0.0008,0.3598,0.0033
40,10.94791,0:00:11,0.0004,0.1924,0.0018
42,11.82021,0:00:12,0.0004,0.2084,0.0019
44,12.14898,0:00:12,0.0008,0.3572,0.0033
46,11.98747,0:00:12,0.0007,0.3500,0.0033
48,12.10762,0:00:12,0.0008,0.3682,0.0034
50,11.94858,0:00:12,0.0007,0.3515,0.0033
52,11.70296,0:00:12,0.0004,0.2051,0.0019
54,11.66453,0:00:12,0.0004,0.2055,0.0019
56,11.29796,0:00:11,0.0004,0.1989,0.0018
58,11.51710,0:00:12,0.0004,0.2039,0.0019
60,11.00575,0:00:11,0.0004,0.1944,0.0018
62,10.12338,0:00:10,0.0004,0.1797,0.0017
64,10.58504,0:00:11,0.0004,0.1892,0.0018
66,9.82514,0:00:10,0.0004,0.1746,0.0016
68,11.84911,0:00:12,0.0007,0.3448,0.0032
70,9.97661,0:00:10,0.0004,0.1779,0.0017
72,10.97700,0:00:11,0.0004,0.1968,0.0018
74,11.78693,0:00:12,0.0004,0.2105,0.0020
76,12.10251,0:00:12,0.0008,0.3922,0.0036
78,11.47424,0:00:11,0.0004,0.2047,0.0019
80,11.50902,0:00:12,0.0004,0.2048,0.0019
82,12.85658,0:00:13,0.0009,0.4109,0.0038
84,10.61993,0:00:11,0.0004,0.1894,0.0018
86,11.58119,0:00:12,0.0004,0.2060,0.0019
88,12.30146,0:00:12,0.0009,0.4053,0.0038
