Threads,time_seconds,Time,Energy,CO2eq,travelled
2,62.22145,0:01:02,0.0026,1.2570,0.0117
4,33.38502,0:00:33,0.0016,0.7615,0.0071
6,23.68011,0:00:24,0.0012,0.5911,0.0055
8,20.04362,0:00:20,0.0011,0.5158,0.0048
10,20.20126,0:00:20,0.0011,0.5432,0.0051
12,17.79905,0:00:18,0.0010,0.4973,0.0046
14,17.90639,0:00:18,0.0011,0.5173,0.0048
16,17.12751,0:00:17,0.0011,0.5067,0.0047
18,17.37556,0:00:17,0.0011,0.5284,0.0049
20,16.87914,0:00:17,0.0011,0.5275,0.0049
22,16.76192,0:00:17,0.0011,0.5413,0.0050
24,17.09773,0:00:17,0.0012,0.5532,0.0051
26,17.73153,0:00:18,0.0012,0.5828,0.0054
28,17.46292,0:00:17,0.0012,0.5875,0.0055
30,18.50663,0:00:19,0.0013,0.6192,0.0058
32,18.20682,0:00:18,0.0013,0.6308,0.0059
34,17.68912,0:00:18,0.0013,0.6194,0.0058
36,18.24152,0:00:18,0.0014,0.6447,0.0060
38,19.28597,0:00:19,0.0014,0.6670,0.0062
40,18.71918,0:00:19,0.0015,0.6890,0.0064
42,19.33216,0:00:19,0.0014,0.6630,0.0062
44,19.77596,0:00:20,0.0014,0.6785,0.0063
46,19.71953,0:00:20,0.0015,0.7008,0.0065
48,20.10076,0:00:20,0.0015,0.7247,0.0067
50,19.56907,0:00:20,0.0015,0.7107,0.0066
52,19.56728,0:00:20,0.0015,0.7197,0.0067
54,18.67190,0:00:19,0.0015,0.6981,0.0065
56,18.19401,0:00:18,0.0015,0.6982,0.0065
58,18.02217,0:00:18,0.0015,0.6913,0.0064
60,17.59907,0:00:18,0.0015,0.7031,0.0065
62,18.01931,0:00:18,0.0015,0.7128,0.0066
64,17.20893,0:00:17,0.0015,0.7101,0.0066
66,17.46348,0:00:17,0.0015,0.7239,0.0067
68,16.92077,0:00:17,0.0015,0.7046,0.0066
70,17.14827,0:00:17,0.0015,0.7105,0.0066
72,16.54176,0:00:17,0.0014,0.6838,0.0064
74,16.49566,0:00:17,0.0015,0.6942,0.0065
76,17.50409,0:00:18,0.0015,0.7180,0.0067
78,16.96728,0:00:17,0.0015,0.7182,0.0067
80,17.09975,0:00:17,0.0015,0.7217,0.0067
82,17.21042,0:00:17,0.0015,0.7324,0.0068
84,17.45797,0:00:17,0.0016,0.7428,0.0069
86,17.12952,0:00:17,0.0015,0.7319,0.0068
88,17.30436,0:00:17,0.0016,0.7424,0.0069
