Treads|Time|Energy|CO2eq|travelled
2|0:01:47|0,0044|2,0683|0,0192
4|0:01:04|0,0029|1,3915|0,0129
6|0:00:48|0,0024|1,1205|0,0104
8|0:00:42|0,0022|1,0470|0,0097
10|0:00:36|0,0020|0,9494|0,0088
12|0:00:34|0,0020|0,9385|0,0087
14|0:00:33|0,0020|0,9360|0,0087
16|0:00:32|0,0020|0,9376|0,0087
18|0:00:31|0,0019|0,9107|0,0085
20|0:00:30|0,0019|0,9068|0,0084
22|0:00:31|0,0021|1,0004|0,0093
24|0:00:31|0,0021|1,0066|0,0094
26|0:00:30|0,0021|1,0081|0,0094
28|0:00:32|0,0023|1,0946|0,0102
30|0:00:32|0,0024|1,1202|0,0104
32|0:00:31|0,0024|1,1322|0,0105
34|0:00:32|0,0025|1,1867|0,0110
36|0:00:35|0,0028|1,3399|0,0125
38|0:00:34|0,0028|1,3282|0,0124
40|0:00:37|0,0031|1,4669|0,0136
42|0:00:37|0,0031|1,4953|0,0139
44|0:00:37|0,0032|1,5432|0,0144
46|0:00:40|0,0035|1,6675|0,0155
48|0:00:41|0,0036|1,7222|0,0160
50|0:00:41|0,0037|1,7451|0,0162
52|0:00:42|0,0038|1,8111|0,0168
54|0:00:44|0,0039|1,8619|0,0173
56|0:00:43|0,0039|1,8416|0,0171
58|0:00:44|0,0041|1,9244|0,0179
60|0:00:45|0,0041|1,9432|0,0181
62|0:00:45|0,0041|1,9490|0,0181
64|0:00:45|0,0043|2,0327|0,0189
66|0:00:45|0,0043|2,0227|0,0188
68|0:00:46|0,0044|2,1053|0,0196
70|0:00:47|0,0044|2,1132|0,0197
72|0:00:49|0,0047|2,2270|0,0207
74|0:00:49|0,0047|2,2460|0,0209
76|0:00:51|0,0049|2,3314|0,0217
78|0:00:51|0,0049|2,3223|0,0216
80|0:00:52|0,0051|2,4138|0,0225
82|0:00:55|0,0053|2,5150|0,0234
84|0:00:53|0,0052|2,4558|0,0228
86|0:00:54|0,0053|2,5303|0,0235
88|0:00:54|0,0053|2,5330|0,0236
