Threads,time_seconds,Time,Energy,CO2eq,travelled
2,451.06,0:07:35,0.0180,8.5393,0.0794
4,248.07,0:04:10,0.0110,5.2228,0.0486
6,181.14,0:03:03,0.0086,4.1030,0.0382
8,145.32,0:02:27,0.0073,3.4546,0.0321
10,120.94,0:02:02,0.0063,2.9996,0.0279
12,108.75,0:01:50,0.0061,2.8820,0.0268
14,96.33,0:01:37,0.0057,2.7127,0.0252
16,82.59,0:01:23,0.0052,2.4918,0.0232
18,76.74,0:01:17,0.0051,2.4189,0.0225
20,71.88,0:01:13,0.0050,2.3831,0.0222
22,69.36,0:01:10,0.0050,2.3787,0.0221
24,60.38,0:01:01,0.0047,2.2314,0.0208
26,60.83,0:01:01,0.0048,2.2673,0.0211
28,55.86,0:00:56,0.0046,2.1707,0.0202
30,50.47,0:00:51,0.0043,2.0385,0.0190
32,47.76,0:00:48,0.0043,2.0188,0.0188
34,46.83,0:00:47,0.0042,1.9998,0.0186
36,45.53,0:00:46,0.0041,1.9634,0.0183
38,41.61,0:00:42,0.0040,1.9059,0.0177
40,37.89,0:00:38,0.0039,1.8482,0.0172
42,37.78,0:00:38,0.0039,1.8709,0.0174
44,37.41,0:00:38,0.0039,1.8718,0.0174
46,47.28,0:00:48,0.0043,2.0536,0.0191
48,47.90,0:00:48,0.0043,2.0596,0.0192
50,48.49,0:00:49,0.0044,2.0756,0.0193
52,48.71,0:00:49,0.0044,2.0770,0.0193
54,42.75,0:00:43,0.0042,1.9771,0.0184
56,42.67,0:00:43,0.0042,1.9877,0.0185
58,38.48,0:00:39,0.0040,1.9016,0.0177
60,38.68,0:00:39,0.0040,1.9189,0.0179
62,39.16,0:00:40,0.0041,1.9259,0.0179
64,39.85,0:00:40,0.0041,1.9336,0.0180
66,40.87,0:00:41,0.0041,1.9472,0.0181
68,41.11,0:00:42,0.0041,1.9710,0.0183
70,40.47,0:00:41,0.0041,1.9509,0.0181
72,39.79,0:00:40,0.0041,1.9482,0.0181
74,39.32,0:00:40,0.0041,1.9396,0.0180
76,38.66,0:00:39,0.0041,1.9405,0.0181
78,37.64,0:00:38,0.0040,1.9183,0.0178
80,32.02,0:00:32,0.0037,1.7806,0.0166
82,32.11,0:00:32,0.0038,1.7946,0.0167
84,32.12,0:00:32,0.0038,1.8013,0.0168
86,32.43,0:00:33,0.0038,1.8218,0.0169
88,31.86,0:00:32,0.0038,1.7933,0.0167
