Treads|Time|Energy|CO2eq|travelled
2|0:07:38|0,0181|8,5871|0,0799
4|0:04:14|0,0111|5,2928|0,0492
6|0:03:03|0,0087|4,1147|0,0383
8|0:02:27|0,0073|3,4502|0,0321
10|0:02:03|0,0064|3,0552|0,0284
12|0:01:49|0,0060|2,8682|0,0267
14|0:01:36|0,0056|2,6703|0,0248
16|0:01:23|0,0053|2,4970|0,0232
18|0:01:17|0,0051|2,4335|0,0226
20|0:01:12|0,0050|2,3566|0,0219
22|0:01:11|0,0050|2,3874|0,0222
24|0:01:01|0,0047|2,2394|0,0208
26|0:00:59|0,0047|2,2123|0,0206
28|0:00:56|0,0045|2,1542|0,0200
30|0:00:53|0,0044|2,1011|0,0195
32|0:00:48|0,0042|1,9873|0,0185
34|0:00:47|0,0042|1,9717|0,0183
36|0:00:46|0,0041|1,9540|0,0182
38|0:00:42|0,0040|1,8957|0,0176
40|0:00:38|0,0039|1,8384|0,0171
42|0:00:38|0,0039|1,8649|0,0173
44|0:00:38|0,0040|1,8829|0,0175
46|0:00:48|0,0043|2,0593|0,0192
48|0:00:48|0,0043|2,0570|0,0191
50|0:00:49|0,0044|2,0741|0,0193
52|0:00:49|0,0044|2,0840|0,0194
54|0:00:43|0,0042|1,9806|0,0184
56|0:00:43|0,0041|1,9633|0,0183
58|0:00:39|0,0040|1,9139|0,0178
60|0:00:39|0,0040|1,9189|0,0179
62|0:00:40|0,0041|1,9288|0,0179
64|0:00:40|0,0041|1,9398|0,0180
66|0:00:41|0,0041|1,9492|0,0181
68|0:00:42|0,0042|1,9758|0,0184
70|0:00:41|0,0041|1,9575|0,0182
72|0:00:40|0,0041|1,9446|0,0181
74|0:00:40|0,0041|1,9411|0,0181
76|0:00:39|0,0030|1,4316|0,0133
78|0:00:38|0,0040|1,8953|0,0176
80|0:00:33|0,0038|1,7848|0,0166
82|0:00:32|0,0038|1,7968|0,0167
84|0:00:32|0,0038|1,8010|0,0168
86|0:00:32|0,0038|1,8084|0,0168
88|0:00:32|0,0038|1,7977|0,0167
