Threads,time_seconds,Time,Energy,CO2eq,travelled
2,160.16,0:02:48,0.0066,3.1123,0.0290
4,85.12,0:01:29,0.0038,1.8121,0.0169
6,57.37,0:01:00,0.0028,1.3232,0.0123
8,45.62,0:00:48,0.0023,1.1063,0.0103
10,37.14,0:00:39,0.0020,0.9514,0.0089
12,31.52,0:00:33,0.0018,0.8542,0.0079
14,27.65,0:00:29,0.0017,0.7983,0.0074
16,24.39,0:00:26,0.0016,0.7465,0.0069
18,22.09,0:00:23,0.0015,0.7127,0.0066
20,20.26,0:00:22,0.0014,0.6698,0.0062
22,19.11,0:00:20,0.0014,0.6589,0.0061
24,17.66,0:00:19,0.0014,0.6455,0.0060
26,16.96,0:00:18,0.0014,0.6519,0.0061
28,21.38,0:00:22,0.0017,0.8062,0.0075
30,17.79,0:00:19,0.0015,0.7212,0.0067
32,14.38,0:00:15,0.0013,0.6043,0.0056
34,12.53,0:00:13,0.0012,0.5517,0.0051
36,13.29,0:00:14,0.0013,0.5972,0.0056
38,11.79,0:00:13,0.0012,0.5497,0.0051
40,11.55,0:00:12,0.0012,0.5557,0.0052
42,10.64,0:00:11,0.0010,0.4811,0.0045
44,11.91,0:00:13,0.0013,0.6008,0.0056
46,14.51,0:00:15,0.0014,0.6803,0.0063
48,14.59,0:00:15,0.0014,0.6872,0.0064
50,13.65,0:00:14,0.0014,0.6512,0.0061
52,13.59,0:00:14,0.0014,0.6487,0.0060
54,12.96,0:00:14,0.0013,0.6278,0.0058
56,12.80,0:00:14,0.0013,0.6248,0.0058
58,12.56,0:00:13,0.0013,0.6189,0.0058
60,12.39,0:00:13,0.0013,0.6134,0.0057
62,12.08,0:00:13,0.0013,0.6035,0.0056
64,11.66,0:00:12,0.0012,0.5896,0.0055
66,12.27,0:00:13,0.0013,0.6129,0.0057
68,11.18,0:00:12,0.0011,0.5449,0.0051
70,10.99,0:00:12,0.0010,0.4873,0.0045
72,10.99,0:00:12,0.0011,0.5421,0.0050
74,10.90,0:00:12,0.0011,0.5405,0.0050
76,10.39,0:00:11,0.0011,0.5172,0.0048
78,10.17,0:00:11,0.0011,0.5118,0.0048
80,9.76,0:00:10,0.0010,0.4950,0.0046
82,9.55,0:00:10,0.0010,0.4891,0.0045
84,9.73,0:00:10,0.0011,0.5009,0.0047
86,9.28,0:00:10,0.0010,0.4823,0.0045
88,9.06,0:00:10,0.0010,0.4618,0.0043
