Threads,time_seconds,Time,Energy,CO2eq,travelled
2,93.64,0:01:39,0.0041,1.9412,0.0181
4,58.89,0:01:02,0.0028,1.3316,0.0124
6,47.63,0:00:50,0.0025,1.1652,0.0108
8,43.13,0:00:45,0.0023,1.1001,0.0102
10,41.46,0:00:43,0.0023,1.1037,0.0103
12,40.65,0:00:42,0.0024,1.1338,0.0105
14,40.17,0:00:41,0.0024,1.1631,0.0108
16,39.75,0:00:41,0.0025,1.1990,0.0112
18,39.70,0:00:41,0.0026,1.2351,0.0115
20,38.76,0:00:40,0.0026,1.2533,0.0117
22,39.01,0:00:40,0.0027,1.3038,0.0121
24,36.04,0:00:37,0.0026,1.2467,0.0116
26,33.98,0:00:35,0.0025,1.2013,0.0112
28,31.28,0:00:32,0.0024,1.1310,0.0105
30,29.47,0:00:30,0.0023,1.0934,0.0102
32,27.16,0:00:28,0.0022,1.0467,0.0097
34,26.00,0:00:27,0.0022,1.0340,0.0096
36,24.34,0:00:25,0.0021,1.0074,0.0094
38,23.70,0:00:24,0.0021,1.0130,0.0094
40,22.23,0:00:23,0.0021,1.0003,0.0093
42,21.32,0:00:22,0.0021,0.9984,0.0093
44,20.60,0:00:21,0.0021,1.0034,0.0093
46,22.62,0:00:23,0.0022,1.0599,0.0099
48,22.83,0:00:23,0.0022,1.0598,0.0099
50,23.08,0:00:24,0.0022,1.0556,0.0098
52,23.07,0:00:24,0.0022,1.0658,0.0099
54,24.21,0:00:25,0.0023,1.0818,0.0101
56,24.61,0:00:25,0.0023,1.0835,0.0101
58,24.61,0:00:25,0.0023,1.0930,0.0102
60,25.21,0:00:26,0.0023,1.0980,0.0102
62,26.06,0:00:27,0.0023,1.1153,0.0104
64,26.14,0:00:27,0.0024,1.1297,0.0105
66,26.28,0:00:27,0.0024,1.1378,0.0106
68,25.42,0:00:26,0.0024,1.1200,0.0104
70,25.18,0:00:26,0.0024,1.1217,0.0104
72,24.86,0:00:25,0.0023,1.1154,0.0104
74,24.39,0:00:25,0.0023,1.1111,0.0103
76,23.20,0:00:24,0.0023,1.0884,0.0101
78,23.15,0:00:24,0.0023,1.0920,0.0102
80,22.27,0:00:23,0.0022,1.0670,0.0099
82,22.33,0:00:23,0.0022,1.0289,0.0096
84,21.51,0:00:22,0.0022,1.0626,0.0099
86,20.75,0:00:21,0.0022,1.0546,0.0098
88,20.59,0:00:21,0.0022,1.0456,0.0097
