Treads|Time|Energy|CO2eq|travelled
2|0:01:38|0,0041|1,9449|0,0181
4|0:01:02|0,0028|1,3353|0,0124
6|0:00:49|0,0024|1,1565|0,0108
8|0:00:45|0,0023|1,0747|0,0100
10|0:00:43|0,0023|1,1034|0,0103
12|0:00:42|0,0024|1,1265|0,0105
14|0:00:41|0,0024|1,1634|0,0108
16|0:00:41|0,0025|1,2016|0,0112
18|0:00:40|0,0026|1,2170|0,0113
20|0:00:41|0,0027|1,2708|0,0118
22|0:00:40|0,0028|1,3111|0,0122
24|0:00:37|0,0026|1,2491|0,0116
26|0:00:35|0,0025|1,1937|0,0111
28|0:00:32|0,0024|1,1349|0,0106
30|0:00:30|0,0023|1,0843|0,0101
32|0:00:28|0,0022|1,0487|0,0098
34|0:00:27|0,0022|1,0401|0,0097
36|0:00:25|0,0021|1,0208|0,0095
38|0:00:24|0,0021|1,0087|0,0094
40|0:00:23|0,0021|1,0049|0,0093
42|0:00:21|0,0021|0,9885|0,0092
44|0:00:21|0,0021|0,9943|0,0092
46|0:00:23|0,0022|1,0565|0,0098
48|0:00:24|0,0022|1,0684|0,0099
50|0:00:24|0,0022|1,0664|0,0099
52|0:00:24|0,0022|1,0678|0,0099
54|0:00:25|0,0023|1,0821|0,0101
56|0:00:25|0,0023|1,0740|0,0100
58|0:00:26|0,0024|1,1222|0,0104
60|0:00:26|0,0023|1,1059|0,0103
62|0:00:27|0,0023|1,1078|0,0103
64|0:00:27|0,0024|1,1185|0,0104
66|0:00:27|0,0024|1,1266|0,0105
68|0:00:26|0,0024|1,1221|0,0104
70|0:00:26|0,0024|1,1285|0,0105
72|0:00:26|0,0024|1,1168|0,0104
74|0:00:26|0,0023|1,1159|0,0104
76|0:00:25|0,0023|1,1071|0,0103
78|0:00:24|0,0023|1,0883|0,0101
80|0:00:23|0,0022|1,0264|0,0095
82|0:00:23|0,0023|1,0706|0,0100
84|0:00:22|0,0022|1,0553|0,0098
86|0:00:21|0,0022|1,0341|0,0096
88|0:00:21|0,0022|1,0500|0,0098
